stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.07,0,18.01,2.96,6.38,0,0,0,0,1.88,0,0,0,0,0,6.03,0,0,6.57,58.38,0.97,1.02,3.96,2.41,0,5.81,11.34,1.9,2.19,11.69,18.2,0,0,0
 24-34,0,0,6.38,1.48,9.51,0,0,0,4.79,0,0,0,0,0,0,6.65,0,0,4.09,196.01,1.98,6.67,3.58,0,0,8.55,0,0,0,1.49,38.91,1.11,0,0.86
 36-46,0,0,4.3,0,15.45,0,0,1.19,10.13,0.72,0,0.58,0,0,0,5.02,0,1.42,3.86,190.48,0,3.5,0,0,0,20.46,0,0,0,0,31.05,0,0,0
 48-58,0,0,0.4,0,24.04,1.79,0,0,7.03,0,0,0,0,0,0,3.05,0,0,1.89,201.34,0.39,3.78,0,0,0,6.74,0,0,0,0,30.83,0,0,7.33
 60-70,0,0,0,0,46.48,0,1.46,0,18.3,0,4.43,0,0,0,3.9,7.04,0,0,0,153.63,2.55,4.2,0.65,0,0,8.65,0,0,0,0,18.36,0,0,0
 72-82,0,0.75,4.94,0,70.16,0,0.92,0,13.23,0,0.78,0,0,0.75,0,15.65,0,4.63,1.94,92.4,2.48,2.95,8.62,0,0.87,7.74,0,0,0,0,9.5,4.08,0,0
 84-94,0,0,4.31,0,14.69,0,0,0,12.79,0.73,7.1,0,0,6.17,0,3.94,0,0,0,63.35,1.94,5.13,2.1,0,0,13.44,0,0,0,0,17.96,1.89,1.73,0
 96-106,0,0,7.09,1.54,31.55,0,2.14,0,13.51,2.79,0,0.81,0,2.36,5.88,14.94,1.61,0,3.79,51.71,2.61,21.71,4.09,0,0,14.31,0,0,0,0,15.71,3.48,0,1.29
108-118,0,0,9.4,0,24,0,1.52,0,15.84,0.52,0.47,0,0.73,0,0,21.11,0,0,1.74,57.75,4.16,7.83,0.43,0,4.05,14.76,0,0.78,0,0,0.94,2.11,0,0
120,0,0,2.52,0,42.32,0,1.06,0,22.81,0,0,0,0,0,0,7.1,0,0,0,21.77,4.03,0,1.02,0,0,11.74,0,0,0,0,0,0,0,0
