stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.44,0,0,9.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,15.7,0,0,0,0,0,0,0,0
 14-21,0,1.03,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,1.52,0,0,11.11,0,0,0,1.11,0,0,0,16.2,0,0,0
 24-34,0.8,0,0,2.79,0,0,0,0,0,0,1.17,0,0,0,0,0,2.66,0,0.61,137.37,1.07,7.35,0,2.73,0,0,0.61,36.4,0,0,0
 36-46,1.35,0,0,9.82,1.8,0,0,2.3,0,0,0,0,0,0,0,0,3.6,0,2.08,314.11,0,6.21,0,0,0,0,0,56.59,0,0,0
 48-58,0,0,0,57.25,1.19,0,0.65,2.43,0,0.37,0,0,0,0,0,0,1.5,0,3.63,475.81,1.41,1.52,0,14.76,0.38,0,0,84.3,0,0.77,0.9
 60-70,0,0,0,113.69,3.83,7.94,0,13.64,0,0,0,0,0,0,0,6.35,7.43,0.89,0.69,637.83,0,11.98,0,5.99,0,0,0,104.21,0,0,0
 72-82,0.61,3.84,7.99,112.82,0.57,0,0,14.15,0,0,0,0,0.52,0,0,7.54,18.82,0,3.47,629.42,0,8.62,0,6.72,0,0,0,43.56,0,0,0
 84-94,2.78,6.03,0.88,74.9,0.69,0,0,4.57,0.84,0,0,0,2.96,0,2.93,0,14.56,0,7.55,434.94,0,7.19,0,15.51,0,0,0,38.59,0,0,0
 96-106,0,2.33,5.1,75.52,0,0,0,11.94,1.38,0,0,0,0,0,0,0,9.21,0,5.7,375.69,0,18.75,0,6.6,0,0,0,21.48,1.24,3.02,0.93
108-118,0.41,0.96,1.19,61.1,6.31,0,0.6,7.92,1.51,0,0,0,0,1.8,0,0,9.8,0,4.91,436.44,0,14.2,0,0,0,0.94,0,13.55,0,0,1.03
120,2.94,2.14,0,69.43,20.19,0,1.04,28.32,0,0,0,5.15,0,0,0,0,0,0,4.12,1015.19,0,25.41,0,0,0,0,0,43.72,7.39,0,0
