stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,0,3.98,0,0,0,0
 14-21,0,0,0.95,0.93,1.02,0,0,0,0,0,0,0,0,1.17,7.55,0,0,0,0.93,0,0.86,0,0,0,0
 24-34,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,2.8,0.9,0,0,0,0,0,2.67,0,0,0
 36-46,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.38,0,0.9,0,0,0,0.64,0.72,0,0.61,6.2,0,0,0,0,0,0,0.93,0,0,0
 60-70,0,0,0,0,6.88,0,1.08,0,0,0,0,11.06,0,0,2.14,0,0,0,0,0,0,11.54,0,0,0
 72-82,0,0,0,0,5.07,0,0,0,0,0.62,0,34.03,0,0,18.88,0,0,0,0,0,0,2.74,0.87,0,3.5
 84-94,0,0,0,0,0.95,0,2.92,0,0,0.58,0,64.64,0,0,0.72,1.11,0,0,0,0.76,0,1.36,0,0,0
 96-106,0,0,0,0,0,0,0,1.17,0,0,0,45.63,0.75,0,16.66,0,0,1,0,0,0,0.6,0,0.87,0
108-118,0,0,0.76,0,7.88,0.57,1.3,0,0,0,0,62.63,0,0.72,10.32,0,0.46,0,0,0,0,0,0.77,0,0
120,0,0,0,0,7.39,0,0,0,1.74,0,0,144.57,0,0,11.83,10.45,0,1.59,0,1.61,0,12.38,0,0,0
