stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,neural,periderm,spinal.cord
  5-6,8.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.2,0,0
 14-21,0,0.85,0,0,0,0,0,0,2.23,0,0
 24-34,0,0,0,0,0,0,0,0,1.62,0,1.09
 36-46,0,0,0,1.69,0,0,0,0,15.12,0,0
 48-58,0,0,0,1.09,0,0,0,0,2.21,0,1.32
 60-70,0,0,0,0.66,0,0,0,0,8.69,0,0
 72-82,0,0,0,0,0,0,1.67,1.69,0,0,0
 84-94,0,0,0,0,0.95,0,0,0,0.77,0.93,1.33
 96-106,0,0,1.05,16.12,0,0,0,2.56,0,0,0
108-118,0,0,0,4.98,0,1.83,0,0,2.51,0,0
120,0,0,0,0,0,0,0,0,7.37,0,0
