stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,99.74,1.97,0,2.52,0.95,0,1.13,0,0,1.79,0,0,1.36,6.29,0,0.95,33.55,6.36,0,0,0,8.45,0,5.27,0,18.36,0,0,0,0
 24-34,0,55.85,0,0,4.81,0.66,0,0,2.67,0,0,0,0,0,4.14,0,0.99,46.28,0.73,1.9,0,0,0,0,0,0,13.97,0,0,0,0
 36-46,0,54.41,0,0,4.89,9.7,0,8.35,0.97,0,0,0,0,0,5.36,0,2.38,44.32,0,1.04,0,0,4.45,0,0,0,12.66,0,0,0,0
 48-58,0,40.43,0,0,19.14,5.3,0,37.26,0,0,0,0,0,2.64,19.3,0.72,3.09,19.65,0.5,1.15,0,0,3.24,0,0,0,15.61,0,0.5,0,3.5
 60-70,0,27.73,0,0,16.73,18.19,0,78.99,0,0,0.61,0,0,10.74,36.67,0,0.6,28.26,1,0,0,2.07,0,0,0,3.48,11.41,0,0,0,0
 72-82,1.75,17.77,0,0,17.24,6.12,0,118.14,0,0,0,0,0,11.19,38.14,0,2.01,16.51,3.31,0.52,0,0,0,0,0,0,8.4,0,0,0,0
 84-94,1.16,42.65,0,0,46.86,14.38,0,139.54,5.2,0,2.15,2.52,0,70.81,27.16,0,0,14.27,2.22,4.34,0,0,0,1.4,0,0,17.11,0.66,0.62,1.44,0
 96-106,3.12,43.38,6.29,3.86,45.87,11.12,0,232.67,1.53,0,1.17,0,0,52.96,31.63,0,0,26.28,0.98,6.44,3.32,0,1.18,0,0,0,35.54,0.66,0.67,1.85,0
108-118,0,72.57,1.5,0,44.55,25.94,1.48,185.58,4.61,0,0,0,1.45,85.69,43.5,0,1.96,23.87,2.12,0.59,0,1.05,3.67,0,0,0,8.11,0,0,0,0
120,0,63.36,0,0,8.57,18.88,4.18,208.46,3.89,2.26,2.43,0,0,29.65,85.48,1.63,0,14.5,13.68,2.4,2.44,9.62,6.08,0,0,0,35.04,1.14,2.4,0,0
