stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm
  3-4,9.79,40.92,0,0,0,0,0,0,0,0,0
  5-6,0,125.61,0,0,0,0,0,0,0,0,15.4
  7-9,0,0,0,3.31,0,0,0,62.79,0,3.77,0
 10-12,0,0,0,0,0,0,0,26.76,0,7.07,0
 14-21,0,0,0,0,0,0,0,2.2,0,0,5.2
 24-34,0,0,0,2.16,0,0,0,1.25,0,0,0
 36-46,0,0,0,0,0,0,2.44,0.83,0,0,0
 48-58,0,0,0,0.78,0,0,0,0.73,0,0,0
 60-70,0,0,0,0,0,0.8,0,0.82,0,0,0
 72-82,0,0,0,0,0,0,0.93,1.3,0,0,1.84
 84-94,0,0,0.64,0,0,0,0,2.5,0,0,2.05
 96-106,0,0,0.93,5.9,0.63,0,0,0,1.84,0,0
108-118,0,0,0,0,0,0,0,4.01,0,0,0
120,0,0,0,0,0,0,0,2.07,0,0,2.45
