stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,6.49,0,0,0,0
 24-34,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.28,1.36,0,0,29.88,0,0,0,0
 36-46,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,153.82,0,0,3.02,44.23,0,0.92,0,0
 48-58,0,5.82,0,21.79,0.66,0,0,4.41,0,0,0,0,0,0,0,7.83,0,0,0,257.2,0.87,0,0,62.47,0,0,0,0
 60-70,0,0,0,98.83,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,393.36,3.09,0,0,83.96,0,1.67,0,2.86
 72-82,0,0,1.79,168.11,0,0,0,7.81,0,0,0,0,0,0,0,5.39,0,0,0,407.79,1.49,0.69,0,60.79,0,0,0,0
 84-94,0,1.56,0,184.83,0,0,0.91,0.97,0,1.02,0,0,0,0.69,0,7.16,0,0.63,0,287.26,0,0.88,0,39.5,0.57,0,0,0
 96-106,0,1.04,0,186.24,0,0.62,0,11.09,1.72,0,0.73,0.81,0,0,9.56,2.44,0,0,0,330.98,0,1.1,1.59,35.18,0,0,0,0
108-118,0.62,2.91,0,205.51,0,0,0,13.58,1.16,0,3.57,0,0.42,0,0,2.44,2.33,0,0,371.98,0,0,2.07,25.28,0,0,2.47,0
120,0,5.65,14.27,130.08,0,4.69,0,14.88,2.75,0,2.38,0,0,0,0,4.59,0,0,0,688.24,0,0,0,84.78,0,4.29,0,0
