stage,axial,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,76.78,792.14,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,0,0
  5-6,8.66,388.61,0,0,0,0,0,0,0,0,0,0,15.92,0,0,18.85,0,0
  7-9,0,0,0,4.97,0,0,4.06,0,0,0,0,0,14.94,0,9.39,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,6.91,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0.81,0,0,0,0
 24-34,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.85,0.52,0,0,1.05,0,0,0,1.94,1.12
 60-70,0,0,0,0,0,0,0,0,0.6,23.97,0,0,0.66,0,0,0,0,0
 72-82,0,0,0,2.37,0,0,0,0.66,0.58,20.49,0,0,0,0,0,0,0,0.63
 84-94,0,0,0,1.81,0,1.02,0,0,6.18,8.16,0,0,0,0,0,0,0,0.7
 96-106,0,0,1.25,0,0,0,0,0,3.57,19.45,0,2.05,3.83,0,0,0,0,0
108-118,0,0,0,0,1.11,0,0,0,11.28,16.41,0,0,4.15,0,0,0,0,1.86
120,0,0,0,0,0,4.28,0,0,0,1.84,1.56,0,0,0,0,0,0,0
