stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.12,1000.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.97,1355.8,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,7.71,0,17.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.48,7.59,0,0,28.97,0,0,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.03,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781.21,3.17,0,0,210.72,0,0,5.95,4.76,10.78,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,1.8,219.45,10.75,0,177.96,0,0,0,2.9,20.79,0,0,0,0,3.89,0,150.25,27.08,1.17,0,9.5,343.9,0,0,1.4,4.09,0,5.78,0,6.64,1.37,2.47,9.98,405.83,0,0,4.33,0,68.36
 24-34,0.88,0,0,2.53,37.95,2.57,0,129.7,0,0,0.78,1.43,2.13,0,0,0.9,0,16.56,6.14,70.12,117.2,0,0.69,60.97,250.2,6.1,0.69,0.62,0,0,2.38,0,0,6.01,0,5.19,89.22,0,0,10.33,0,185.14
 36-46,0,0,0,0,4.85,0,0,62.43,0,0.6,6.43,9.7,4.24,0,3.15,21.5,0,5.63,0,4.5,152.03,0,0.92,57.83,118.19,0,0,0,0,0,2.28,0,0,5.73,0,0,37.29,0,0,6.45,0,123.04
 48-58,0.58,0,0,0,3.04,0,0,70.03,1.25,0.61,8.78,31.45,0.39,0,0.67,2.73,0,15.07,1.68,1.69,177.41,0,0,46.2,80.12,0,0,0.39,0,0,1.89,0,0,16.53,0,0,33.6,0,0,5.25,0,134.72
 60-70,0,0,0,0,7.47,1.42,0,47.66,0,6.51,14.33,77.14,2.58,0,0,0,0.58,26.06,9.14,1.44,171.76,0,7.6,28.69,32.67,0,0,0,0,4.77,6.3,0,0,25.21,0,0,13.63,0,0.63,0,0,80.01
 72-82,0,0,0.5,0,5.47,1.7,0,32.72,1.52,3.88,22.8,126.18,24.92,0,0,13.04,0,13.32,0,9.49,279.52,0,6.09,23.71,51.99,0,0,0,0,3.61,11.26,0,0,95.4,0,0,0.61,0,4.58,1.03,1.7,70.59
 84-94,0,0,0,0,16.93,2.79,0,107.94,0,5.1,20.96,68.5,87.4,0,0,9.52,0,22.7,4.36,0.96,238.2,0,11.37,22.74,72.26,0,0,0.79,0,0.77,16.12,0,0,285.39,0,0,1.99,2.04,5.86,0.59,3.11,85.59
 96-106,1.12,0,0,4.24,17.5,1.5,0,59.03,0,2.13,9.17,102.71,142.76,0,0.8,16.22,0,16.19,2.75,2.33,219.38,1.82,5.06,22.95,93.68,0.6,0,0,0,1.11,20.42,0,0,227.89,0,0,1.73,5.55,2.46,2.92,5.62,43.34
108-118,0,0,0,9.02,36.02,4.93,0,77.61,0,10.96,9.28,107.5,309.44,0,0,7.34,0,26.34,6.88,2.3,261.13,1.22,15.56,23.78,87.61,1.22,0,1.62,0,4.17,22.29,0,0,261.16,0,0,0,1.08,0,6.28,2.16,60.24
120,0,0,0,3.32,25.64,12.73,14.33,75.65,0,2.15,11.35,98.07,382.31,0,0,28.95,0,37.5,0,1.61,255.76,0,8.06,16.79,104.95,0,7.65,3.91,0,2.03,19.51,0,0,161.8,0,0,11.27,0,3.52,1.41,11.83,19.81
