stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  5-6,9.25,15.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.58,4.87,18.17,0,0,0,0,3.3,0,0,0,0,9.02,52.83,268.53,0,0,0,0,0,0,0
 10-12,0,5.4,9.66,0,0,0,0,0,0,0,0,0,108.91,110.26,507.05,0,0,0,18.78,0,6.05,0
 14-21,0,0,3.04,0.87,0.91,0,0,0,0,0,1.22,14.8,10.91,0,0,0,0,27.29,0,3.03,265.38,2.6
 24-34,0,0,0.76,0,0.86,0,0,0,1.21,0.6,3.92,15.31,3.56,0,0,0,0,0,0,0.87,8.88,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.58,1.03,0.88,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.93,0,0,0,0,0,1.96,1.8,3.23,0,0,0.47,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,8.23,0,7.23,0,0,0,0,0,0,0,0,1.63
 72-82,0,0,0,0,2.69,0.59,0,0,0,0,2.63,1.45,6.45,0,0,0,0,0,0,0,0,1.4
 84-94,0,0,0,0,1.16,0,0,0,0,0,7.27,0.74,1.16,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.18,0,0,0,0,0,8.53,1.51,2.2,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.48,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
