stage,blastomeres,endoderm,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,31.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.07,0,25.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.26,0,3.37,0,0,0,0
 14-21,0,0.96,1.73,0,0,0,0,0,0,0,0,0,1.13,0,3.18,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.51,0,1.44,0,0,1.98,1.57,0,0
 36-46,0,0,0,0.97,0,0,0,0,0,0,0,1.4,0,0,2.86,0,0,0
 48-58,0,0,0,0,0,0,0.58,0,0,0,0.93,4.59,0,0,0,0,0,0
 60-70,0,0,0,2.73,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.52,1.13,0,0,0,0,2.1,0.51,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0.66,0,0,0.72
108-118,0,0,0,0,0,0,0,0.49,0.71,0.52,0,3.48,0,0,0.42,0,0.5,0
120,0,0,0,0,0,9.94,0,0,0,9.36,0,13.93,0,0,0,0,0,0
