stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.75,413.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.82,530.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0
  7-9,0,4.99,3.51,0,0,19.45,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,155.13,0,0,0,44.85,0,0,0,0,0,0,0,0
 10-12,0,5.04,14.02,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.21,0,0,0,26.12,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.46,2.65,6.7,0,0,0,0,0,1.23,0,0,0,0,0,4.38,0,0,0,42.5,0,1.09,0,1.46,0,0,1.71,0.81,4.53,17.14,0.86,0
 24-34,0,0,0.7,2.53,0,7.68,0,0,0.87,0,0,0,0,0,0,0,0,5.12,0,0,5.58,75.75,0,1.36,1.59,0,0,2.98,0,0,0.61,14.84,2.62,0
 36-46,0,0,0,0,0,13.36,0.58,0,0,0,0,0,0,0,0.56,0,0,5.47,0,0,5.17,49.6,0,1.9,7.11,0,0,1.24,0,0,0,7.82,0,0
 48-58,0,0,0,0.67,0,12.27,0,0,2.44,0,0,0,2.85,0,0,0,1.2,7.16,0,0,0.92,30.69,0,0,0,0,0,0,0,0,0,8.23,0,0
 60-70,0,0,0,1.54,5,6.4,0,0,4.37,0,0,0,0,0,0,0.66,0,5.33,0,0,0,35.38,0,0,1.67,0,0,0,0,0,0,4.52,0,0
 72-82,0,0,0,0,0,9.33,0,0.59,9.18,0,0,0,0,0,0,0.74,0,17.26,0,0,1.36,26.25,0,0,0.54,0,0,0,0,0.64,0,0,0,0
 84-94,0,0,0,2.22,0,11.56,0,0,3.78,0,0,0,0,0,0,0,0.99,16.67,0,0,3.41,6.98,0,0,0,0,0,0,0,1.09,0,7.67,0,0.98
 96-106,0,0,1.03,12.25,0,6.37,0,0,4.19,0,0,0,0,0,0,0.94,0,10.29,1.44,2.84,3.69,25.05,0,0,0,0,0,16.78,0,0.71,0,9.2,5.57,0
108-118,0,0,0,4.39,0,7.42,0,0,7.56,0.46,0,0,0,0.64,0,0,0,14.54,0,0,0,25.28,0.77,0,0,0,2.27,2.57,0,0,0,1.93,5.69,0
120,0,0,0,5.71,0,24.06,0,0,36.15,0,0,0,0,0,0,0,0,16.27,0,0,0,19.09,0,0,0,0,0,0,0,0,0,0,3.19,0
