stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,23.77,895.48,0,0,0,0,0,0,22.05,0,0
  5-6,71.41,758.86,0,0,0,53.03,0,7.5,7.49,0,0
  7-9,21.4,11.7,14.4,60.64,24.52,433.52,3.53,127.21,0,0,0
 10-12,0,34.25,56.3,32.05,0,354.2,0,148.13,0,31.61,5.09
