stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.73,151.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.23,101.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.71,0,0,0,21.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.44,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917.17,16.27,0,0,235.09,0,0,0,15.59,0,18.95,4.47,0,0,0,0,0
 14-21,0,0,24.04,3636.08,44.61,0,6.07,0,0,0,41.23,5.41,41.67,0,5.19,0,0,0.86,518.15,9.96,0,500.76,787.85,19.25,0,0,0,0,22.37,20.66,6.02,3.24,1105.82,580.24,0,0,0,0,0
 24-34,0,0,8.08,2210.91,5.88,0,6.69,4.67,16.43,0.86,151.15,0,17.63,0.73,6.82,0,6.68,0,456.58,33.08,6.45,224.13,497.08,5.32,3.17,0,0,0,15.15,2.2,2.15,30.22,58.96,362.26,0,0,10.7,0,0
 36-46,0,0,0,833.53,0,0,3.54,31.45,85.73,4.29,113.64,0,2.57,0,13.23,0,0,0,496.61,4.65,63.56,115.46,271.89,0,1.56,0,0,3.29,33.33,11.89,0,66.6,13.58,130.44,0,0,0.65,0,0
 48-58,0,0,0,532.31,0,0,25.15,10.21,75.18,3.39,41.05,0,4.99,1.37,0,0,0,0.87,635.52,5.26,60.01,118.15,142.23,4.59,0,0.62,0,0.79,37.53,0,0,46.4,0,37.71,0,0,0,0,4.2
 60-70,0,0,0,454.06,0,0,15.06,5.12,63.41,14.27,9.3,0,0,0,0,0,0,0,544.64,9.59,47.79,77.21,74.35,0,0,2.77,0,3.95,21.97,0,0,41.9,0,5.75,1.23,7.15,4,2.81,5.05
 72-82,0,0,0,325.73,0,0,29.73,0,47.7,37.38,15.07,0.65,0,0,0,0,0,0,469.33,5.51,33.15,106.98,51.62,0,0,1.27,0,0,10.34,0,0,10.5,0,5.85,0,0,0,1.39,0
 84-94,0,0,0,539.18,0.82,0,49.77,0,85.45,14.3,7.41,0.56,0,1.94,0,0,0,0,396.16,3.06,29.77,72.71,33.15,0,2.5,0,0,0,60.5,0,0,21.72,0,11.86,1.7,5.59,0,4.84,0
 96-106,0,0,0,298.46,0,0,18.64,0,47.93,21.21,11.53,1.34,5.38,0.74,2.84,2.11,0,0,248.26,0.84,13.54,55.11,43.55,1.52,0.83,0.81,0,0,41.73,0,0,3.99,0,0,0,0,0,0.74,0
108-118,0,0,0,342.95,0,0.55,11.61,1.62,63.8,29.04,41.04,8.58,0,0,0.75,0,0,0,331.52,6.23,7.68,68.01,43.56,0,0,0,0,0,30.63,0,2.51,8.97,0,3.59,1.13,0.96,0.42,0,0
120,0,0,0,217.76,0,0,0,0,57.22,41.74,18.14,0,0,12.06,2.37,0,0,0,343.17,7.52,0,16.45,53.47,0,0,0,0,0,6.28,0,0,0,0,5.77,0,0,0,7.69,0
