stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,24.76,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.78,0,0.99,0,0,1.74,0,0.82,0,0.8,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.83,0,0,2.29,0,0.75,0,0,0,0,7.46,0
 36-46,0,0,1.17,0,0,0,0,0,0,0,1.62,0,0,10.89,0,4.69,0,0,0,0,4.08,0
 48-58,1.53,0,11.2,0,0,0,0,0,0,0,0.83,0,0,34,1.79,0.6,0,0,0,0,3.46,0
 60-70,2.51,0,27.66,0,0,0,0,0,0,0,2.78,0,0.99,56.44,0,1.51,0.65,0,1.7,0,2.91,0
 72-82,0,2.7,55.46,0,0.94,0,0,0.9,0,0,2.35,0,0,73.31,0,0,2.57,0,0,0,0,0
 84-94,1.69,0,60.8,0,7.15,3.33,0,1.13,0,0,1.13,0,0,58.73,0,0,0,0,0,0,0,0.9
 96-106,0,0,153.89,0,0,0,0,0,0,1.03,4.64,0,0.8,75.48,0,0,0.65,0,3.04,0,4.51,0
108-118,0.62,2.64,165.18,0,1.55,0,1.79,0.52,7.97,0,4.82,0.83,0,50.87,0,0.72,1.13,0,0,0,3.8,0
120,1.96,0,136.85,5.01,5.66,0,0,0,0,0,5.5,15.02,0,81.4,1.33,0,0,0,0,0,14.31,0
