stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  5-6,107.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.78,0,0,0,4.42,0,0,0,0,0,0,0,0,0,61.5,0,0,26.21,0,0,0,0,0,0
 10-12,0,0,0,0,18.79,0,0,0,0,0,0,0,0,0,101.56,0,0,29.32,0,12.01,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,8.3,0,0,0,0,0,0,6.39,0,0
 24-34,0,0,0,0,2.94,0,0,3.05,0,0,0,0,2.97,0,60.88,7.69,0,0,0.64,0,0.71,8.68,0,0
 36-46,0,0,0,0,2.6,0,0,2.03,0,0,0,0,1.7,0,47.97,0.83,0,0,0,0,1.34,10.26,0,0
 48-58,0,0,0,0,3.18,0,0,2.2,0,0,0,0,4.14,0,37.41,0.6,0,0,0,0,0,1.47,0,1.82
 60-70,0,0,0,0,36.58,0,0,3.69,0,0,0,2.72,0.64,0,59.1,1.9,0,0,1.12,0,1.87,5.84,0,0
 72-82,0,0.87,0,0,73.29,0,0,12.47,1.48,1.88,0,0,1.88,1.06,146.34,38.24,0,0,1.24,0,0,29.59,2.31,0
 84-94,0,0,0,0,18.25,0,0,5.84,0,0,0,0,2.38,0,57.26,20.89,1.37,0,0,0,2.39,12.93,0,0
 96-106,0,1.37,0.65,0,32.36,0,0,6.63,0,1.18,0,0.58,0,0,64.73,25.7,0.6,0,0,0,0.58,1.39,0,0
108-118,0,0,1.01,0,48.98,0.47,0.56,6.95,0,0,0,2.93,0.69,0,73.64,21.61,0,0,0,0,0,2.39,0,0
120,0,0,0,4.51,31.79,0,0,24.58,0,0,1.63,3.39,5.55,0,161,35.2,0,0,2.24,0,0,0,1.27,0
