stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,567.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.97,0,0,0,0,0,0,0,0,0,0
  5-6,50.68,725.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,27.95,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.84,0,3.54,0,0,0,34.07,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,238.55,0,0,0,80.38,0,0,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.14,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,0,0,0,30.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,4.43,4.16,0,0.87,0,0,0,2.17,0,2.79,0,0,0,0,0,0,0,2.25,0,0,0,46.82,0,0,2.12,0,0,3.31,0.9,0,0,3.67,13.65,0,0,0,0,0
 24-34,0,0,0.71,0,2.67,0,0,14.06,0,0,0.69,0.79,0,0,0,0,0,0,0,0,0,4.92,0,0,4.73,128.61,0.95,8.88,2.07,0,0,5.61,0,0,0,1.45,32.06,0,0,1.39,0,0
 36-46,0,0,0,0,1.76,2.92,0,14.41,0,0,0,1.1,0.72,0,1.65,0,0,0,0,0,0,5.29,0,0.8,1.89,208.21,0,3.26,2.11,0,0,10.5,0,0,0,0,32,0,0,0.8,0,0
 48-58,0,0,0,0,0,0,0,44.43,0,0,0,6.6,0.51,0,1.95,0,0,0,0,0,3.13,15.83,0,3.32,6.9,216.74,0,4.69,0.62,0,0,2.67,0,0,0,0,39.93,0,0,0.39,0,1.82
 60-70,0,0,0,0,3.86,0,0,96.9,0,0,0.87,20.51,0,0,0,0,0.6,0,0,0,0,23.51,0,0,4.43,284.91,0,4.36,0,0,1.65,8.17,0,1.06,0,0,34.36,0,0,0,0,1.89
 72-82,0,0,0,0,0,0,0,154.49,0,0,0.64,35.22,0,0,0.66,0,3.98,0,4.48,0,0,31.39,0,0.63,8.7,381.85,0,11.97,2.26,0,1.78,0.99,0,0.65,0,0,28.03,0.67,0.66,2.73,3.17,0
 84-94,0,0,0,0,3.04,3.61,0,106.29,0.69,0,0.94,14.23,0.92,0,0,3.78,0.76,1.85,0,0,0,20.37,0,0,3.07,184.03,0.62,4.72,1.84,0,0,16.07,0,0.73,0,0,25.75,0,2.96,1.68,0.98,0
 96-106,0,0,1.97,0,5.31,0,0,57.09,0,0,0.72,25.87,2.63,0,0,1.28,0.74,0,2.4,2.21,0,12.8,0,3.5,2.38,211.8,0,13.82,6.19,0,0,20.74,0,0,1.26,0,2.33,0.61,0,2.34,1.52,8.28
108-118,0,0,0,0,14.32,2.45,9.64,92.87,0.44,1.33,0,23.22,1.03,0,0.51,1.83,2.78,3.63,0,0,0.58,28.87,0.6,1.4,3.4,337.44,0,13.11,5.65,0,1.6,15.06,0,0,0,0,14.75,1.01,1.66,0.55,1.05,2.09
120,0,0,3.64,0,7.29,0,1.61,46.16,0,0,15.43,14.24,11,0,4.12,2.69,0,8.53,0,1.38,0,52,0,0,10.47,429.03,4.96,5.69,12.81,0,0,14.45,0,1.21,0,0,15.73,0,0,24.45,3.21,0
