stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.92,163.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,260.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,29.47,0,0,33.91,0,0,0,0,0,23.38,0,0,0,0,0,0,0,0,0,0,0,125.29,16.84,0,0,65.73,0,35.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.77,17.89,0,4.95,40.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651.58,6.38,0,0,69.18,0,13.49,0,32.9,0,0,0,0,0,0,0,0
 14-21,0,0,0,30.32,40.87,17.27,0,0,0,0,0,0,0.84,0,1.44,0,0,2.67,0.94,12.4,0,0,0,77.56,0,0,0,0.88,0,7.06,3,0,0,3.24,14.11,0,0,34.96,0,3.62
 24-34,0,0,2.02,11.78,2.11,17.31,0,0,9.96,1.45,0,0,5.5,5.58,6.48,2.3,3.2,0,14.23,17.87,0.6,0,4.69,98.3,0.61,2.48,0,0,0,166.9,0,1.54,0,0,25.19,0,0,173.95,0,0.63
 36-46,0,0,0,2.52,9.9,93.83,0,1.42,6.15,5.28,0,0,1.21,0.81,0,7.92,0,0,21.88,22.21,4.32,1.42,7.82,158.32,1.72,9.56,1.66,0,0,306.42,0,1.37,0,0,32.48,0,0,125.25,0,4.53
 48-58,0,0,0.51,5.48,0,284.7,0,6.38,13.54,12.21,0,0,3.93,4.72,2.44,26.59,1.11,2.28,41.36,37.09,3.02,0.54,7.25,283.41,0,2.12,2.92,0,0.61,215.74,0,2.86,0,0,34.44,0,0.4,116.16,0,8.28
 60-70,0,0,0,10.47,0,930.56,0.89,8.48,16.47,62.03,3.58,0,3.15,5.05,0.59,34.84,0,0,18.93,84.06,3.74,7.66,10.97,369.28,1.96,11.94,1.89,0,10.69,208.54,0,4.43,0,0,30.73,0,1.56,152.65,1.65,10.22
 72-82,0,0,0.56,14.73,2.25,1104.71,10.03,3.2,22.21,49.17,5.3,0,0.79,23.69,0.56,31.24,0.81,0,18.55,110.42,1.29,2.25,7.01,345.26,4.97,11.64,11.28,0,1.67,146.64,0,1.94,0.51,0,13.72,0,1.3,204.9,7.82,1.82
 84-94,0,0,0,20.21,0,1006.29,0,2.15,42.07,68.21,8.55,0,2.58,28.01,1.78,36.55,0.81,1.49,26.45,92.04,2.63,2.67,5.61,270.55,5.65,3.27,3.78,0,8.58,428.25,0,11.68,0.73,0,29.44,0,1.03,235.81,17.05,7.26
 96-106,0,0,0,36.55,8.93,1055.63,6.27,3.08,26.15,65.3,9.84,0,3.62,22.15,3.84,24.05,2.62,0,23.36,108.06,5.92,3.45,4.65,225.79,2.82,19.41,15.6,0,10.63,339.93,0,4.17,0,0,15.08,0,2.46,215.9,10.14,0
108-118,0,0,0.74,30.99,3.86,955.34,6.58,6.95,22.76,41.39,15,0,1.07,36.41,4.21,62.37,1.21,3.42,36.01,84.14,2.94,0.94,9.89,364.81,3.68,7.56,6.96,0,8.98,250.8,0,8.37,0,0,12.76,0.54,2.08,247.73,15.49,1.78
120,0,0,0,55.13,13.42,675.18,16.26,26.25,43.62,74.67,26.54,0,3.02,37.25,1.76,53.9,10.42,5.29,14.85,177.11,4.24,1.41,18.47,634.61,6.34,0,10.3,0,2.63,208.22,0,16.19,0,0,12.25,0,5.4,307.98,30.52,0
