stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,192.64,2733.72,0,0,0,0,0,0,0,0,0,0,0,0,60.16,0,0,0,0,0,0
  5-6,220.67,2395.95,0,0,0,0,0,0,0,0,0,80.4,0,0,65.23,0,0,0,0,0,0
  7-9,51.43,63.58,42.57,0,0,72.54,52.39,0,0,0,0,1027.02,51.42,322.06,0,10.03,0,0,0,0,0
 10-12,0,16.16,5.32,0,0,12.63,14.46,0,0,0,0,271.2,4.1,64.77,0,0,0,0,0,0,0
 14-21,0,0,0,3.05,2.86,1.06,0,0,1.36,1.94,1.5,26.5,1.29,0.99,2.34,0,3.76,1.99,8.36,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,4.46,0,0,2.31,0,0,0,0,3.25,0
 36-46,0,0,0,0,0,0,0,0,0,1.37,0,1.44,0,0,0.68,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.07,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0.62,0
 60-70,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,8.95,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0
 96-106,0,0,0,0,0,0,0,0.62,0,9.8,0,1.34,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0.59
