stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,1.09,0,0,2.81,3.74
 24-34,0,0,0,0,2.03,0,0,0,0,1.21,0,0,0,0,4.05
 36-46,0,0,0,5.3,0.93,0,0,0,0,0.81,0,1.46,11.33,0,3.26
 48-58,0.97,0,0.88,0,1.42,0,0,0,0.38,0,0.42,1.64,0,0,0.78
 60-70,0,0,0,0,0.82,0,0,0.69,0,0,0,0,0,0,9.18
 72-82,0,0,3.21,0,2.65,0,0,0.88,0,0,0,4.3,0,0,4.94
 84-94,0,0,0,0,6.82,0,0,1.38,0,8.82,0,0,0,0,0
 96-106,0,0,2.72,0,0.67,2.03,0.63,1.03,1.21,0,0,6.99,0,0,3.51
108-118,0,0.78,0,0,2.79,2.96,0,0,0,0,0,1.01,0,0,0
120,0,0,0,0,8.07,0,0,0,0,0,0,2.34,0,0,0
