stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.83,2.89,0,0,0,0,0,0,0,0,0,0,2.64,0,0,2.29,18.44,2.44,0,0,0,2.6,1.66,0,0,8.61,0,0,0,0,0
 24-34,0,0,1.39,0,1.88,2.38,0,0,0,0,0.64,1.32,0,0,2.93,0,0,2.42,109.82,0,5.58,0,0,8.64,0,1.5,0,36.98,0,0,8.04,0,0
 36-46,0,0,3.41,0,16.55,0,0,1.27,0,0,0,0,0,0,4.11,0,0,0,208.55,0,1.93,0,0,21.46,0,0,0,46.52,0,0,1.29,0,2.18
 48-58,0,0,0.91,0,74.04,0,0,8.03,0,0,0.62,0,0,0.4,2.3,0,0,2.92,327.78,0,3.09,0.48,0.56,18.12,0,0,0,37.77,0,0,7.45,0,0
 60-70,6.75,0,0,0,93.75,0.65,0,17.54,0,0,0,0.62,0,0,4.08,0,0.95,0.67,390.53,0,3.02,0,0,10.99,0,0,0,36.91,0,0,2.7,0,0.96
 72-82,0,0,1.05,0,196.39,0,2.57,7.16,1.92,0,0,0,0,0,10.59,1.8,0.55,0.57,474.3,0.58,2.72,0.91,0,0.57,0,0,0,25.05,0,1.77,5.28,0,1.32
 84-94,0,0,5.62,0,104.5,1.57,1.13,10.93,5.25,0.78,0.84,0.69,0,0.66,13.58,3.24,0.66,0,275.75,0,2.07,1.52,0,12.97,0,0,0.73,21.99,0.71,0.75,8.15,0,2.42
 96-106,1.43,0,5.49,0.59,148.44,0,0,17.9,0,0,0,1.51,0,1.54,7.1,1.27,0,0,211.64,0,1.59,0.84,1.54,1.21,0,0,0,9.31,4.31,0,0.69,0,0
108-118,0,0,6.86,1,49.58,0.77,0.75,11.45,2.64,0,2.32,0,2.21,0.47,23.64,0,0,1.26,161.86,0,8.03,0,0,3.66,0,0,0,3.34,7.63,0,4.48,0.95,0
120,0,1.28,16.22,1.22,44.02,1.22,0,15.35,4.65,0,0,0,0,2.12,10.31,1.49,0,0,227.49,0,0,0,0,2.89,0,0,0,0,0,0,0,0,0
