stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,3.75,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,1.34,0,0,0,0,0,0,1.14,0,0,0,0,0,1.34,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0.62,0,0,0,0.59,0,1.52,0,0,0,0
 48-58,0,0,1.27,0,2.01,0,0.67,0,0.96,0,0,0.55,0,0,0,2.15,0,0,0,0.4,35.67,1.19,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.42,0,0,3.49,10.11,0,0,0,0,0,0,0,2.29,25.74,0.96,0,1.27,0,0
 72-82,0.56,0,0,0,8.45,0,0.93,66.98,0,0,0,2.34,1.32,0,0,6.71,0,0,0,9.11,47.4,1.65,0,2.75,4.01,0
 84-94,14.33,3.08,0,0,1.2,0,0.97,94.31,0,0,0,3,0.92,0,0.95,8.36,0,0,0,1.09,71.29,3.47,0,13.69,0,0
 96-106,12.96,4.1,0,0,43.51,0.81,7.41,448.81,0,0,0,6.91,10.15,0,0,112.44,6.26,1.1,0,0,158.58,3.58,1.97,2.52,0,4.53
108-118,8.18,4.27,1.01,0,10.73,0,4.07,622.71,0,3.24,0,8.49,5.31,1.85,0,76.92,0,0,0,7.6,52.1,0,0,2.43,0,0
120,5.69,6.35,0,20.77,0,0,2.21,405.33,0,0,0,0,6.25,0,0,78.55,0,0,0,0,46.6,0,0,3.38,0,0
