stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.11,366.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,187.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.73,6.41,0,0,0,14.52,0,0,6.64,0,0,0,0,0,0,0,187.42,8.29,0,0,41.82,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,5.68,3.24,0,0,12.4,0,0,0,0,0,0,0,0,0,0,102.93,6.95,0,0,77.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14.96,1.34,1.98,0.88,0,1.35,0,0,0,0,3.29,0,1.74,34.94,0,0,0,0,0,0,2.99,0,7.82,15.43,0,0,0,0
 24-34,0,0,0,0.71,0,3.29,0,0,0,0,0.81,0.63,0,1.35,0,0,55.55,0,0,0.69,0,1.68,0,0,0,0,12.92,0,0,0,0
 36-46,0,0,0,0,0,12.65,9.67,0,0,0,0,0,0.57,2,0,1.05,78.42,0.82,1.02,0,0,3.29,0,0,0,0,18.87,0,0,0,3.02
 48-58,0,0,0,0,0,18.15,7.12,0,0,0,0,0,0.4,7.38,0.39,1.17,64.41,0,0,0,0,0.49,0,0,0,0,11.35,0,0,0,0
 60-70,0,0,0,2.47,0,19.78,14.13,0,0,0,0,0,0,9.12,0,1.54,73.02,0,0.75,0,0,0,0,0,0,0,23.75,0,0,0.89,0
 72-82,0,0,0,0,0,23.5,3.6,0,0,0.74,0,0,0,7.72,0,1.77,45.41,0,0.6,0,0,0,0,0,0,0,19.11,0.81,0,0,0
 84-94,0,0,0,0,0,6.88,3.83,2.03,0,0,0,0,0,7.53,0,1.65,28.33,0,0,1.5,0,3.41,0,0,0,0,18.47,0,0,0,0.88
 96-106,0,0,0,0,0,14.97,1.14,0,0,0,0.86,0,0,6.09,0,0,22.22,0,0,0,0,1.91,0,0,0,0,0,0,0,0.56,0
108-118,0,0,0,1.49,0.72,9.61,3.19,0.57,0,0,0,0.42,0,2.01,0,1.2,43.69,0,0.52,0.43,0,0.88,0,0,0.48,0,3.71,0,0,0,0.64
120,0,0,0,0,2.32,2.83,6.77,0,0,0,0,0,0,0,0,0,62.7,0,0,0,0,0,0,0,0,0,12.63,0,12.09,0,0
