stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,27.43,51.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,4.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,4.37,0,0,0,0,0,0
 14-21,0,0,0.88,1.64,0,0,1.6,0,0,0,0,0,0,0,3.34,0,0,10.13,1.97,0.92,0,0,0,0.9,0.88,0.84,7.14,0,0,0
 24-34,0,0,0,3.14,0,0,0,0,0.62,0,0,0,0,0,2.01,0,0.64,15.09,0,0,0,0,0,0.98,1.79,1.47,7.37,0,8.67,0
 36-46,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,1.08,0,0,29.62,0,0.61,0,0,0,1.02,0,0,1.26,0,0,0
 48-58,0,0,0,0,0,0,1.09,0,0,0,0,0,1.48,0,1.05,0,0,4.9,0,0,0,0,0,0,0,0,11.48,0,0,0
 60-70,0,0,0,2.44,0.71,0,8.78,0,0,0,0,0.63,0,2.31,2.74,0,0,10.7,0,0,0,0,4.56,0,0,0,6.43,1.31,0,0
 72-82,0,0,0,3.1,8.78,0.59,5.89,0,0,0.49,0,0,0,1.81,7.9,0,0.88,7.5,0,0,0,0,0.92,0,0,0,5.83,0,0.53,1.96
 84-94,0,0,0,0.66,0,0,4.13,0.71,0,0.74,0,0,0,1.95,3.22,0,1.73,9.22,0,0,0,0,4.9,0,1.34,0,0,0.98,4,0
 96-106,0,0,0,6.32,0,1.45,10.56,0,0,6.61,0,0,3.03,0,0.68,0,0,15.15,0,0,0,0,21.15,0,0,0,0,0,5.15,0.73
108-118,0,0,0.74,12.54,0,0,5.01,2.48,0,0.6,1.83,0,0,0,9.51,0,0,16.61,0,0,0,0,19.1,0.42,0.45,0,0,0.57,5.11,0
120,0,0,0,0,0,0,11.85,1.34,0,1.38,0,4.65,0,0,23.72,3.7,0,28.52,0,0,0,11.71,10.91,0,0,0,0,0,14.75,0
