stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0
 14-21,0,0,2.11,0,0,0,0,0,0,0,0,0,0.87,0
 24-34,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.56,0,5.87,0,0,0,0
 72-82,0,0,2.85,0.88,0.87,0,0.55,0,0,10.51,1.43,0,0,0
 84-94,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.2,27.89,0.8,0,2,0,0,1.26,41.7,5.64,0,0,0
108-118,0,0,2.96,0,0,0,0,0,0,1.06,4.95,0,0,1.67
120,0,0,32.28,0,0,0,0,0,0,0,6.97,0,0,0
