stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,9.18,0,3.16,0,0,1.25,3.06,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.73,0,0,0,0,0,0,0,0.61,0,24.59,0,2.67,4.95,7.98,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.94,0,3.92,0.75,10.68,0,0,0,1.95,0,423.4,0,42.26,5.79,24.85,0,0,0,0,1.33,0,0,3.89,3.12
 72-82,0,0,0,72.34,0,0,1.07,14.63,0,0.53,0,0,1.36,1401.06,2.2,193.09,57.56,73.82,0,0,1.57,0,2.6,1.68,0,0,0
 84-94,8.34,3.11,0,89.86,0,0,5.99,1.5,0,0,0,2.2,0,1899.71,1.01,170.2,50.59,103.71,0,0,0,0,0,1.41,0,0,0
 96-106,8.89,9.65,0,42.77,0,1.81,0,12.33,0,0,0,3.71,9.42,2098.45,10.53,214.03,73.76,223.61,0,1.44,9.22,0.93,0,0,5.4,0.65,0.87
108-118,16.2,0,1.11,50.09,0,5.86,8.42,11.62,1.31,7.96,0,1.95,0,2891.4,0.57,163.86,72.84,528.93,0,1.49,2.73,0,1.02,0,25.91,2.24,0.49
120,26.04,0,0,94.7,2.51,6.86,0,7.54,0,3.83,1.11,0,0,3162.4,0,207.5,161.78,808.45,0,19.53,0,0,0,0,16.45,0,8.78
