stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,periderm,somites,spinal.cord
  3-4,0,11.83,0,0,0,0,0,0,0,0,0
  5-6,27.05,67.74,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.15,0,0,28.12,0,0,0
 10-12,0,0,0,0,7.92,0,0,26.94,0,0,0
 14-21,0,0,0,0,1.08,0,0,0.8,0,0,0
 24-34,0,0,0,1.6,2.34,0,0.84,9.38,0,1.17,0
 36-46,0,0,0,0,0,0,0,6.64,0,0,0.84
 48-58,0,0,0,0,0.38,0,0,3.72,0.66,0,0
 60-70,0,0,0,0,0.91,0,0,7.39,0,0,0
 72-82,0,0,0,0,2.63,0.98,0,0.8,0,0,0
 84-94,0,0,0.61,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.35,0,0,0
108-118,0,0,0,0,0,0,0.81,3.13,0,0,0
