stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.67,268.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,245.21,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.27,0,0,7.75,0,0,0,0,0,0,0,0,0,50.34,0,0,0,20.45,0,0,0,0,0,0,0
 10-12,0,5.18,0,0,9.14,0,0,0,0,0,0,0,0,0,33.67,0,0,0,20.03,0,0,15.45,0,0,0,0
 14-21,0,0,0,11.12,5.52,0,0,0.99,0,0,0,0.89,0,2.06,36.28,0,0,0.92,0,0,2.56,0.85,1.74,15.01,0,1.05
 24-34,0,0,0,0,2.03,0,0,0,0,0,5.19,3.43,0,0.94,38.1,0,0,0,0,2.42,0,0.64,0.87,4.66,0,0
 36-46,0,0,0,0,2.23,0,0,0,0,0,0,4.73,0,0.93,37.63,0.66,0.57,0,0,12.02,0,0,0,0.83,0,0
 48-58,0,0,0.46,0,4.87,0,0,6.14,0,0,0,0.46,0,0,83.3,0,0.74,0.41,0,0.4,0,0,0,12.94,0,0
 60-70,0,0,0,0,11.31,0,0,1.29,0,0,0,1.53,0,0,109.61,0,0,0,0,0,0,0,0,3.74,0,0
 72-82,0,0,0,0.8,29.45,0,0,0.53,0,0,0,1.16,0,1.5,102.36,0,4.82,0,0,0.52,0,0,0,6.54,0,0.61
 84-94,0,0,0,0,3.5,0,1.83,0,1.76,0.81,0,5.92,0,0,75.94,4.96,0,0,0,0.86,0,0,0,10.86,0,0
 96-106,0,0,0,1.62,31.93,0,0.71,4.27,0,0,1.56,0,1.66,0,95.4,0,0,0,0,5.07,0,0,0,0.57,1.2,0
108-118,0,0,0,0,26.03,2.46,0,0.66,0,0,0,9.62,0,4.54,92.68,0,0,1.09,0,3.04,0,0,0,3.26,0,1.07
120,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,97.63,0,0,0,0,0,0,0,0,15.4,0,0
