stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
  5-6,9.57,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0
 14-21,0,0,0,1.68,0,0,0,0.99,0,0,0,0,0,3.11,0,1.22,0
 24-34,0,0,0,2.02,0,0,0,0,19.68,0,0,0,0,3.55,0,1.89,7.76
 36-46,0,0,0,1.04,0,0,0.72,0,37.37,0,4.35,0,0,0.94,0,0,14.41
 48-58,0,0,0,0,0.68,0.59,0,0,47.81,0,0,1.98,0,4.42,0,0,16.56
 60-70,0,0,0,0.61,1.88,0,0,0,104.67,0,0,0,0,0,0.7,0,17.2
 72-82,0,0,0,1.16,0,0,0,0,147.35,0,0,2.54,0,1.24,0,3.5,30.9
 84-94,0,0,0,16.12,3.62,0,0,0,232.28,0,0,0,0,2.39,0,0,30.44
 96-106,0,0,0,0.56,1.36,0,0,0,173.31,0,0,5.22,0,8.35,0,0,41.02
108-118,0,0,0,0.46,0.69,0,0,0,144.71,0,0,1.99,0.49,6.52,0,0,23.53
120,0,0,1.58,6.11,1.28,0,0,0,211.07,1.05,0,0,2.77,0,0,0,28.33
