stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,26.73,0,19.7,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,333.7,22.23,0,0,1161.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,130.63,0,609.33,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907.28,316.61,0,0,7001.64,0,9.59,11.65,12.66,570.33,0,18.93,21.94,0,0,0,0
 14-21,7.5,0,15.07,1768.07,128.83,3.75,0,3.76,0,164.46,162.95,0,2.11,0,0,0,231.1,1.76,0,154.25,465.81,260.11,0,2.78,600.45,0,21.61,0,2935.58,27.25,7.83,1000.62,2492.78,0,2.74,0,0
 24-34,0,0,0,11.84,0.62,6.06,0,0.61,1.23,47.63,7.29,1.15,0,0,0,7.39,33.42,0,0,17.4,45.11,3.33,1.63,0,0,0,11.46,0,2.17,1.08,6.33,87.48,242.48,0,4.4,0,2.91
 36-46,0,0,0,0,0,0,0,1.29,16.09,8.12,3.78,0,0,0,0,1.27,21.84,0,0,13.82,20.84,0,0,0,0,0,10.52,0,0,0,0,1.18,136.12,0,3.23,0,1.04
 48-58,0,0,0,7.46,0,0.42,0.44,1.18,6.31,6.99,0,0,0,0,0,2.77,9.35,0,0,2.86,11.37,0,0,0,0,0,0.71,0,0,0,0,0,150.73,0,2.33,0,0
 60-70,0,0,0,0,0,1.2,1.8,2,7.14,2.45,0,0,0,0,1.98,5.81,28.74,0,0.84,1.35,43.43,4.5,0,0,0,0,0,0,0,0,0,0,130.24,0,2.4,0,0.65
 72-82,0,1.15,0,0,0,5.03,7.1,0,8.62,18.27,0.81,0,0,0,0,14.04,11.33,0,2.07,6.34,46.93,2.3,0,0,0,0,1.9,0,0,0,0,0,123.05,0,0,2.82,1.18
 84-94,0,0,0,0.97,0,0,0,2.56,9.44,13.78,1.56,0,0,0,0,9.97,11.79,2.02,0,3.97,24.45,0,0,0,0,0,3.34,0,0,0,0.66,0,77,0,1.93,0.98,0
 96-106,0,1.37,0,0,0,13.76,0,1.74,6.18,11.63,0.9,0,0,0.66,0,2.05,6.17,0,0,0.76,21.13,0,0,0,0,1.61,0.77,0,0,0,0,0,38.44,0,1.22,0,3.12
108-118,0,0,0,0.73,0,1.51,0,1.45,7.69,15.21,4.92,0,0,0.73,0,6.09,1.78,0,3.69,7.03,25.33,0,0,0,0,0,5.27,0,0,0,0,0,0.46,2.42,0,2.14,5.13
120,0,0,0,6.99,0,0,0,0,5.39,13.66,2.97,0,0,3.86,0,21.65,1.92,0,0,0,4.2,0,0,0,0,0,0,0,0,0,2.07,0,10.73,0,0,0,7.88
