stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,29.62,256.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0
  5-6,0,286.41,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,9.67,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0
 14-21,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,2.48,0,0,0
 24-34,0,0,6.78,0,0,0,5.47,0.65,0,0,0,0,12.84,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,2.9,7.17,0,0,0,0,0.56,0,0,0,6.01,0,0,0,10.3,0.88,6.26,0,0,0,0,0,0,0
 48-58,0,0,1.46,3.22,0.53,1.14,0.49,0,0,7.87,0,0,8.11,0,0.73,2.39,0,0,6.51,0,0,0,0,0,0,3.34
 60-70,0,0,8.35,3.42,0,0,1.42,0,0,0,0,0,13.21,0,0,6.36,0,0,0,0,0.6,0,0,0.91,0.75,0
 72-82,0,0,11.39,9.9,5.56,0,0,0,0,3.13,0,0,20.69,0,0.58,1.86,0,0,0,0,0,0,0,3.95,0,0
 84-94,0,0,7.53,10.22,1.62,0,0,0,0,2.99,1.27,0,32.01,1.67,0,10.18,0,0,1.68,0,1.51,0,0,9.81,0.59,0
 96-106,0,0,9.06,3.85,3.92,0,0,1.84,0,6,0,0.76,37.17,0,0,0,0,0,0,0,0,0,0,26.82,0,0
108-118,0,0,21.01,19.23,0.45,0,1.17,0,0,11.91,1.52,0,34.16,0,2.93,4.53,0,0,0,0,0,0.42,0,57.52,0,0
120,0,0,6.3,11.1,0,0,0,0,8.92,21.77,0,0,38.39,0,0,6.44,0,0,0,0,0,0,0,9.74,0,0
