stage,axial,blastomeres,endoderm,erythrocytes,hatching.gland,immune,iridophores,liver,mural.cell,neural,notochord,paraxial.mesoderm,pronephros,somites,spinal.cord
  3-4,0,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.34,43.87,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,7.37,7.84,0,4.16,0,0,0,0,39.64,4.17,23.35,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0
 14-21,0,0,3.22,0.95,0,0,0,1.94,0,3.94,0,0,2.15,0,0.96
 24-34,0,0,0,0,0,0,0,0,0.69,1.7,0,0,16.78,0.77,0
 36-46,0,0,0,0,0,0,0,0,0,3.78,0,0,3.27,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0
 72-82,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.3,0,0,2.25,0,0
 96-106,0,0,0,0,0,13.29,0.71,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,7.76,0,0,0,2.3,0,0,0,0,0
120,0,0,0,0,0,69.22,0,0,0,10.2,0,0,1.58,0,0
