stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,173.74,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.44,0,0,0,28.33,0,0,0,12.9,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,29.93,256.12,0,0,0,0,0,0,0,0,433.45,0,0.85,0,0,2.61,10.32,0,1.95,26.41,0,0,66.46,0,58.48,0,2.8,0,0,6.08,10.53,0,0,0,0,0
 24-34,0,0,0,1.33,4.92,0,5.69,0,1.5,0.95,0,0,3.84,191.96,0,5.81,0,0,1.31,9.7,0,2.86,50.49,0.9,0,147.34,0,2.54,0,0,0,0,0,5.41,0,0,21.93,0,0
 36-46,0,0,0,1.23,0,0,43.48,0,0.61,3.55,0,0,0,26.46,0,1.9,0,0,9.79,6.47,0,1.46,51.02,0,1.34,86.87,0,21.15,0,0,0.75,0,0,14.74,0,0,22.03,0,0
 48-58,0,0,0,3.2,0,0,187.82,0.54,0,5.82,0,0,0,32.98,0,14.61,0,0,3.94,3.99,0,1.26,52.74,0,0,143.83,0,0.65,0,0,0,0,0,17.35,0,0,7.03,0,0
 60-70,0,0,0,24.71,0,0,141.98,6.39,1.34,0.75,0,0,7.68,30.27,0,25.18,0,0,7.58,1.09,0,0,10.8,0,0,187.36,0,0.68,0,0,0,0,0,3.54,0,1.84,10.35,0,0
 72-82,0,3.47,0,30.67,5.29,0,158.53,0,0,5.02,0.71,1.04,5.58,38.18,0,42.66,0,0,2.86,4.22,0.53,0,23.59,0,0,342.79,0,1.19,1.65,0,0,2.7,0,0.55,2.42,0,13.62,1.8,4.49
 84-94,0,11.2,0,42.42,10.58,0,170.04,1.44,0,4.99,2.77,0,6.16,80.07,0,65.27,0.82,0,14.4,4.27,0.57,2.93,24.64,0,0.91,442.84,0,3.31,0,0,0,0,0,6.38,5.88,0,14.53,0,0
 96-106,0,0,0,42.41,8.22,1.12,82.9,0.6,0,20.67,0.81,0,25.71,78.64,0,83.52,7.08,0.98,6.27,0,0,0,46.8,0,3.04,512.09,0,10.68,4.11,0,0,0,0,0,38.85,0,44.43,0,0
108-118,0,0,0,11.25,3.04,0,82.43,0,1.27,3.62,0.44,0,22.53,74.72,0,63.58,0,0,11.36,1.12,0,1.72,32.82,0,1.57,353.06,0,0.86,0,0,10.13,0,0,0,6.37,0,37.15,0,5.88
120,0,0,0,27.14,4.74,0,99.59,1.34,0,0,2.71,0,25.76,24.03,1.17,23.66,0,0,0,0,0,0,29.48,0,0,518.39,0,0,0,0,0,0,0,0,0,0,25.47,0,0
