stage,eye,immune,mesenchyme,muscle,neural
 24-34,0,1.3,0,0,0
 36-46,0,0.57,0,0,0
 48-58,0,0.4,0,0,0
 60-70,0,0,0,0,0.91
 72-82,11.51,3.01,2.61,0,0
 84-94,4.39,9.92,0,0,0
 96-106,0,6.94,0,1.41,0
108-118,7.6,8.33,0,1.62,0
120,0,15.62,0,0,0
