stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  5-6,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,15.07,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77,0,0,0,0
 48-58,0,0.73,0,0,0,0,0,0,0,0,0,0,1.03,0,0,6.84,0,0,0,0
 60-70,0,0,0.69,0,0,0,0,0,0,0,0,0,7.58,0,0,2.58,0,0.65,0,0
 72-82,0,4.77,0,1.26,0,0,0,0.53,0,0,1.03,0,11.05,0.67,0,3.4,0,0,0,0
 84-94,0,0.67,4.17,0,1.97,0,0,0.8,1.49,0,0,1.51,4.56,0.9,0,8.01,0,3.43,0,0
 96-106,0,0,3.41,0,0,0.7,0,0,0,0,0,0,8.34,0,0,0.59,0,0,0,1.38
108-118,0,1.89,0,0,0,3.8,0,0,0,0.51,0,0,7.55,0,0,5.09,0,0,1.24,0
120,0,5.25,0,2.04,0,0,0,0,0,0,0,0,18.28,0,0,1.96,0,0,0,0
