stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,173.22,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0
  5-6,10.91,103.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,18.68,0,4.44,0,0,24.92,0,0,136.53,8.04,0,50.54,0,0,0,0,0
 10-12,0,0,0,0,5.96,0,0,0,0,0,156.15,11.87,0,20.86,0,7.01,0,0,0
 14-21,0,0,0,0,0,0,1.2,0,0,0,2.22,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.05,0.91,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.24,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,3.37,6.23,0,2.7,0,0.48,0,6.67,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.71,6.79,0,0,0,2.46,0,2.04,0,0,0,0,0,0.88,0,0
 72-82,0,0,0,1.54,0.98,0,0,0,5.07,0,1.04,0,0,0,0,0,7.32,1.81,0
 84-94,0,0,0,2.26,0,0.56,0,0,16.51,0,0,0,1.1,0,2.38,0,0,0,0
 96-106,0,0,0,0.68,0,0,0,0,0,0,1.45,0,0.71,0,0,0,0,0,0
108-118,0,0,0,1,0,0,0,0,1.91,0,1.53,0,0,0,0,0,0,0,1.72
120,0,0,0,1.58,0,0,0,0,16.75,0,0,0,0,0,0,0,0,0,0
