stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0
  5-6,21.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.69,0,0,0,0,0,7.38,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,34.48,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0
 10-12,11.76,0,4.42,0,0,0,12.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.95,0,0,0,5.33,0,0,0,16.42,0,0,0,0,0,0
 14-21,0,0,0,0.81,0.97,0,3.57,0,0,0,0,0,0,0,0,0,0,0,2.03,0,2.46,31.76,0,0.95,0,0.94,0,0,3.31,0,5.33,6.52,0,0,0,0
 24-34,0,0,0,0,1.11,0,3.53,0,0,0,0,0,3.54,0,0,1.31,1.48,0,3.13,0,0.98,61.42,0,0,5.82,0,0,0,0,0,1.41,15.05,0,4.89,0,0
 36-46,0,0,0,1.87,0.76,0,2.79,0,0.6,2.74,0,0,1.49,0,0.57,0,0,11.36,5.94,0,0.98,87.77,6.86,0,17.39,0,0,0,0,0,0,9.89,0,1.69,0,0
 48-58,0,0,0,0,0,0,28.48,0.46,0,4.88,0,0,0,0,0,0,0,4.24,4.57,0.6,0.77,118.35,0,0,0,0,0,0,0,0,0,25.46,0,6.64,0,0
 60-70,0,0,0,0,0,0,52.29,0,0,4.03,0,0,3.33,0,0,0.63,0,0,22.91,0,2.02,128.48,0,0,2.02,0,0,0,0,0,0,31.25,0,0,0,0
 72-82,0,0,0,0.71,10.34,0,49.89,0,0.93,9.2,0,0,0,0,0,0,0,0,30.14,0,3.42,128.68,0,2.43,4.66,0,0,1.65,0,0,0,22.21,0,1.33,0,7.88
 84-94,0,0,0,0,16.1,0,35.18,0,0,20.13,0,0,0,0.67,0,1.57,0,0.98,28.43,2.39,0.7,79.03,0,4.64,4.49,0,0,0,0,0,0,30.35,0.92,0.86,0.74,0
 96-106,0,0,0,0,13.47,0,26.67,0,0,17.94,2.07,0,0,0,0,0.6,2.44,0,14.52,0,1.74,44.94,0,0,14.93,0,0,0,0,0.67,0,4.52,0,3.11,0,0
108-118,0,0.8,0,0,1.87,3.75,35.52,0.69,0,24.02,4.28,0,0,1.85,1.75,7.09,0.55,1.67,35.5,0,4.43,82.39,0.57,0,2.5,0,0,0,0,0,0,17.66,0,7.03,0.57,0
120,0,0,0,15.3,3.13,0,49.12,0,0,37.51,5.37,0,0,5.91,0,0,7.03,0,19.55,0,4.72,130.16,0,2.2,1.76,0,0,0,0,4.51,0,36.61,1.54,23.48,0,0
