stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,58.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53,0,0,0,0,0,0,0
 10-12,0,0,0,3.39,0,0,0,0,0,0,0,0,0,18.21,0,9.55,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,1.05,0,0,1.74,0,1.03,0,0,3.95,0,0
 24-34,0,3.31,0,1.74,0.71,0,0,0,0,0,2.46,0,0,11.89,0,0,0.62,0,1.82,0,0
 36-46,0,0,0,0,0,1.06,0,0,0,0,0,0,0.58,8.67,0,0,0,0,1.81,0,0.58
 48-58,0,0,0,2.89,0,7.32,0,0,2.43,2.1,0.94,0,0,5.45,0,0,11.06,8.72,1.09,0,0
 60-70,0,2.12,0,2.66,0,3.24,9.93,0,0,0,0.71,0,2.76,30.19,0,0,0,0,0,0,0
 72-82,0,0,0,0.52,0,1.46,0,0,0,0,3.42,0,0,2.8,1.42,0,0,0,0,0,0
 84-94,0,0,0,1.88,0,3.81,0,0,0,0,8.02,1.19,2.14,1.29,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.29,0,0.65,0,0,0,0,0,0,0,0,3.92,0,0,0,1.81
108-118,0,0,0.55,5.58,0,0,0,0,0,0,6.04,0,0.87,0,0,0,1.84,0,0,1.37,0
120,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
