stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,143.08,0,0,0,0,0,0,0,0,0,31.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.57,0,0,0,0,177.06,0,0,0,0,0,0,0,0,0,116.73,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,6.37,0,7.94,0,0,0.87,6.34,0,0,0,0,0,0,0,6.12,0,0,83.9,4.54,1,1.1,48.4,0,0,40.98,6.07,0,9.19,20.68,0,0,0,0,0
 24-34,3.78,0,11.06,0,3.48,1.9,5.33,0,0,0,0,0,2.42,0,3.84,0,0,165.16,1.66,0,0,0,0,3.61,0,2.52,0,22.81,20.26,0,0,0,0,0
 36-46,5.71,0,180.95,0,6.21,51.62,0,0,0,0,0,0,0,1.14,55.5,0,3.81,448.46,2.37,0,0,0,0,1.13,0,0,0,0,27.61,0,0,1.67,0,3.36
 48-58,20.36,0,510.23,0,3.26,109.31,0.67,0,0.63,0,0.5,0,2.18,0,56.16,0.45,2.48,498.22,0,1.55,0.87,0,0,3.38,0,0,0,0,35.44,0,0.85,1.96,0.5,0
 60-70,4.42,0,735.69,0,0.98,76.94,0,0,0,0,0,1.73,0,0,113.53,2.9,1.89,313.59,0,0,1.84,0,0,0,0,0,1.8,0,24.07,0,2.63,0,0,0
 72-82,1.34,0,181.08,0,6.94,25.07,0,0,0,0,0,5.48,0,0,75.99,1.56,6.19,130.4,0,0,2.78,0,0,0,0,0,0,0,5.73,2.31,2.57,2.69,1.58,0
 84-94,3.22,3.49,243.4,0,4.47,30.04,0,0,0,0.61,0,8.73,1.46,0,97.55,8.78,3.59,108.65,0,0,0,0,0.77,0,0,0,0,0,6.81,4.68,2.72,0,10.93,0.69
 96-106,5.55,0.62,112.68,0.65,1.42,21.96,0,0,0,0,0,15.42,7.67,0,65.96,0,9.65,143.73,0,0,0.61,0,0,2.88,0,0,0,0,5.04,0,1.53,3.58,3.25,0
108-118,6.17,0,120.4,0,0,21.76,0,0,0,0,0,43.12,2.42,0,73.27,0,1.39,98.83,0,0,1.85,0,0,0,0,0.62,0,0,0,0.94,4.47,0.65,1.97,0
120,0,0,63.61,0,0,17.42,0,0,0,0,0,45.4,0,0,15.05,0,3.64,67.71,1.08,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0
