stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,68.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,15.46,0,0,3.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,12.91,1.31,0,0,0,0,0,0,0,79.5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,2.2,0,0,32.1,0.67,0,0,0,0,0,0,0.61,25.13,0,0,0,0,0
 36-46,0,0,0,0,0.59,0,0,2.58,0,0,0,0.67,0,0,0,0,0,0,1.35,0,0.56,78.7,0,0,0,0,0,0,0,0,23.96,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.72,0,0,0,1.63,0,0,0,0,0,0,11.72,0,0,96.31,0,0,0,0,0,0,0,0,17.41,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,284.26,0,0,0,0,0,0,0,0,0,0,44.18,0,0,111.84,0,0,0,0,0,0,0,0,35.28,0,0,0,0,0
 72-82,0,0,0,0,9.73,0,0,1015.91,0,0,0.61,17.73,0,0.66,1.12,0.57,0,0,76.76,0,1.83,208.86,0,0,0,0,0,0,0,0,38.34,0,0,0,0,8.48
 84-94,0,0,0.86,0,2.74,0,11.61,644.98,0,0,0,15.87,0,0,0,0,0,0,82.37,0,0,161.1,0,0,0,0,0.91,4.69,0,0,16.89,0,0,0,0.77,0
 96-106,0,0,0,0,1.83,2.54,1.65,1526.78,0.94,0.9,0,29.51,0,0,0,0,9.55,3.42,90.24,1.66,1.39,187.44,0,1.07,0,0,1.94,4.37,0,0,1.23,0,0,3.41,0,0
108-118,0,0,0,0,17.21,1.51,0,1427.48,0,0.88,0,24.79,0.45,0,0,0.83,0.97,4.49,96.84,0,0.55,145.47,0.69,0,2.83,0,0,0.56,0,0,15.34,0.68,1.23,0,1.3,0
120,0,0,0,0,6.03,0,3.97,687.31,1.01,1.31,0,10.22,0,0,0,0,0,0,122.3,0,0,363.45,0,0,0,0,0,0,0,0,7.42,0,0,0,0,0
