stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,17.84,136.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,205.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,12.76,0,0,0,0,0,0
  7-9,0,0,113.5,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,259.9,8.99,0,0,124.77,0,0,0,0,0,0,0
 10-12,0,0,33.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.85,13.54,0,0,84.3,12.04,0,16.08,0,0,0,0
 14-21,0,0,0,403.88,0,0,0,0,1.58,0,0,2.08,0,25.5,9.59,0.83,2.99,16.53,3.84,0,0.98,0,13.86,1.05,0,0,4.9,8.94,0
 24-34,0,0,0.59,127.47,0,1.77,0,0,0,0,1.89,0,0.6,64.65,11.19,0.66,5.47,24.53,0.8,0,0,0,43.02,0,0,0,0,7.36,0
 36-46,0,0,0,56.87,0,1.44,1.04,0,0,0,0,0,0.62,10.9,3.23,0.56,1.41,11.32,0,0,0,0,42.17,0,0,0,0,2.85,0
 48-58,0,0,0,12.89,0,1.22,0.47,1.45,0,0,0,0,0,4.89,1.55,0,0,8.33,0,0,0,0,14.64,0,0,0,0,3.62,0
 60-70,0,0,0,19.46,0,1.75,0,3.28,0,0,0,0,1.02,1.63,5.53,0,0,8.39,0,0,0,0,5.54,0,0,0,0,4.72,0
 72-82,0,0,0,3.91,0,0,1.95,2.86,0.66,0,0,0,0.76,5.14,0,0,0.76,0.88,0,0.79,0,0,2.07,0,0,0,0,9.58,1.3
 84-94,0,0,0,3.49,0,0,2.5,1.87,0.89,0.6,0,0,0,0,15.21,0,0,3.62,0,0.56,0,0,3.08,0,0,0,0,16.06,0
 96-106,0,0,0,4.23,0,0,0,9.59,0,0,3.87,0.58,0,0,5.87,0,0,13.28,0,0,0,0,3.12,0,0,0,0,1.73,0
108-118,0,0,0,5.28,0.94,2.32,1.97,6.45,1.15,0,0,0.52,0.6,0,4.51,0,0,1.79,0,0,0,0,1.31,0,0,0.56,0,0.92,4.38
120,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
