stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0
 14-21,0,16.61,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,1.01,0
 24-34,0,2.19,0,0,0,0,0,0,0,5.43,1.75,11.82,0,0,0,0,1.65,0,8.32,0
 36-46,0,0,0,5.62,0,1.8,0,0,0,0.78,4.76,1.67,0,0,0,0,0,0,2.97,0
 48-58,0,0,9.56,8.06,0.98,0,0,0,0,3.98,1.61,10.27,0.88,0,0,0,0,0,0,0
 60-70,0,0,0,2.35,2.86,0.77,0,0,0,2.15,5.74,0,0,0,0,0,0,0,0,0
 72-82,0,5.32,1.32,0.49,0,0,0,0,0,14.43,0,10.41,0,5.15,0,0.96,0,4.97,0,0
 84-94,0.97,1.86,2.67,0,0,0,0,0,0,5.22,0,23.87,0,5.58,0,0,0,0,0,0
 96-106,0,2.13,11.02,0,0,0,0.65,0,0,3.81,0,7.18,0,3.69,0,0,0,0,0,0
108-118,0,6.08,2.62,1,0,0.47,0,0.49,1.6,12,0,8.68,0,11.07,0,0,0,0,0,1.42
120,0,0,0,1.09,2.03,0,0,0,0,7.28,0,30.43,0,9.98,12.66,0,0,0,0,0
