stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,43.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,105.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.33,0,0,0,0,4.52,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,2.49,0,0,0,0,80.62,5.22,0,0,0,0,0
 24-34,0,0,3.4,6.85,0.66,0,0,0,0,0,0.68,0,0,0,1.93,0,0,10.41,0,2.52,0,0,1.02,21.24,0,8.62,0,0,369.11,36.57,1.05,0,0,0,0
 36-46,0,0,0,1.42,0,0,4.01,1.15,0,1.72,2.6,0,0,0.62,17.5,0,1,10.48,0,2.11,10.36,0,0,21.33,5.73,13.27,0,0,774.08,87.61,4.16,0,0,0,0
 48-58,0,0,0,32.98,0,0,3.18,11.25,0,0,3.67,0,0.64,0,9.51,0,1.24,3.53,3.73,6.73,0,0,0,24.3,0,14.57,0,0,439.1,47.46,9.16,0,0,1.34,1.38
 60-70,0,0,7.97,16.9,0,0,19.4,4.88,0,0.64,28.74,0,0,0,5.57,0,19.19,22.05,0,1.97,0,1.27,0,24.53,0,15.94,0,0,438.63,36.75,1,0,0,2.96,0
 72-82,0,0,1.18,28.04,0,0.76,24.09,4.7,0,0,28.52,0,0,0,2.59,0,2.13,17.4,0,2.91,0.95,0,0.54,21.23,0,13.53,0,0,299.97,13.85,3.65,1.16,0,0,2.09
 84-94,0,0,2.58,54.21,0,0.6,18.12,10.41,0,9.12,58.31,1.23,0,0,8.63,0,2.27,33.22,0,13.87,4.67,0,0.75,8.73,0,66.98,0,0,608.13,29.57,0,0,0,1.18,0
 96-106,0,0.69,3.58,89.5,10.83,0,31.05,8.79,0,10.08,53.31,0,0,2.88,18.88,1.04,9.51,29.56,1.3,15.1,19.69,0,2.91,83.85,2.06,78.1,0.68,0,870.03,27.41,1.39,6.1,0,4.34,2.21
108-118,0,0,4.88,76.99,0.95,4.23,19.73,18.12,1.72,5.37,70.32,0,0,2.07,13.21,0.87,5.77,49.32,6.05,14.26,9.98,3.53,1.63,34.72,0.54,51.17,0,0.97,608.47,26.43,3.91,2.48,0,0,5.84
120,0,0,7.73,135.84,0,4.46,24.49,22.67,0,0,134.72,0,0,1.29,17.25,0,3.32,82.96,0,8.18,10,0,1.13,67.89,0,100.07,0,0,786.66,24.14,0,11.48,3.14,0,0
