stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.49,1252.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.91,0,0,0,0,0,0,0,0,0
  5-6,84.71,922.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6,20.05,0,0,0,0,27.38,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.49,0,0,0,3.52,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0,126.78,3.29,0,0,8.7,0,5.09,7.71,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,0,0,0,0,9.91,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,64.29,13.72,0,0,23.17,0,3.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,10.4,0,0,2.9,0,0,2.21,1.5,0,1.15,0,1.08,0,0,0,0,5,0,0,5.32,44.69,0,0,0,1.94,0,8.9,0,0,0,7.84,0,0,1.16,0,0
 24-34,0,0,0,2.13,5.17,0,0,7.46,0.62,0,3.6,0,0,0,0,0,0,0,0,0,12.21,0,0,5.29,125.41,0,0,0,0,0,19,0,0.76,0.66,30.8,0,0,8.43,0,2.34
 36-46,0,0,0,0,9.31,0,0,34.4,0,0,14.66,0,0,0,0,0,0,0.61,0,9.25,14.98,0,0.86,3.89,139.85,0.72,6.05,0,0,0,21.66,0,0.62,0,39.64,0,0,3.75,0,14.36
 48-58,0,0,0,0,9.72,0,0,44.37,0.94,0,22.5,0.58,0,1.11,0,0,5.11,0.97,0,6.33,28.28,0,0.51,3.33,169.48,1,1.26,3.51,0,0,12.96,0,0,0,38.79,0,0,3.52,0,0.42
 60-70,0,0,0,0,9.23,0,0,135.34,4.2,1.38,53.78,2.7,0,1.29,1.26,4.82,0,0.59,1.92,4.02,70.43,0,1.56,3.64,239.94,0,15.15,12.63,0,0,10.03,0,0,0,48.9,0,0.63,7.72,0,0
 72-82,0,0,2.56,0,12.01,0,0,106.17,0.61,1.5,61.99,1.3,0,0,4.09,0,0,3.53,1.65,0,41.93,1.2,1.58,3.71,147.06,0,5,2.51,0,0,4.64,0,0,0,18.27,0,1.63,6.84,1.39,14.65
 84-94,0,0,1.44,0,34.03,0.84,0,94.5,0,0.6,19.86,2.25,0,0,0,1.31,1.45,0,0,13.3,65.91,2,1.94,0.88,138.31,3.42,5.4,4.41,0,0,9.5,0,0,0,13.9,0,0,0.78,0.75,0.64
 96-106,0,0,0,0,3.51,0,1.19,64.75,0.56,3.57,27.22,1.62,0,0,1.21,0.86,1.67,5.57,1.38,0,28.19,0.69,1.99,1.23,106.48,0,5.51,3.52,0,0,6.06,0,0,0,8.87,5.94,0,5.57,2.04,0
108-118,0,0,0,0,6.03,1.29,4.79,75.45,1.27,0,24.35,7.38,0,2.37,0,0,3.12,2.11,0,0,46.76,0,1.4,2.31,142.09,0,4.91,0,0,2.06,11.25,0,0,0,8.41,0,0.5,7.32,0,0
120,0,0,5.88,0,3.93,0,0,95.31,2.08,1.66,45.9,2.59,0,0,0,0,0,0,0,4.02,11.55,0,0,2.77,336.64,2.52,3.22,1.51,0,0,2,0,0,0,3.67,0,0,18.5,0,0
