stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0
  5-6,7.03,62.86,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.23,0,18.68,0,0,3.56,0,0,0,0,0,0,0,17.25,5.93,0,0,19.4,0,3.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.02,0,0,5.85,0,0,0,0,0,0,0,44.07,0,0,0,12.36,0,0,0,6.08,0,0,0,0,0
 14-21,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,1.71,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.1,0,0,0,0,0,2.33,0,0,5.14,0,0,0,0,0,3.74,0,0,0.86,0,0,0,0
 36-46,0,0,0,0,1.56,0,0.71,0,0,0,0,0,3.79,0,0,11.53,0,0,0,0,0,1.5,0,0,2.81,0,0,0,0
 48-58,0,0,0,3.82,4.91,0,0.63,0,0,0,0,0,2,0,0,3.66,0,0,0,0,0,0.47,0,0,1.65,0,0,0,0
 60-70,0,0,0,0,10.22,0.59,0,0,0,0,0,0.73,0.64,0,0,9.33,0,0,0,0,0,3.78,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.41,0,0,0,0,2.93,0,0,6,0,0,16.75,0,0,0.71,0,1.78,3.8,0,0,5.17,0,0,1.39,4
 84-94,0,0,0,0,4.04,0,0.66,0,0.79,0,0,0.81,0.96,4.32,0,5.6,0,0,0,0,0,10.48,0,0,0.71,2.08,0,0,0
 96-106,0,0,0,0.77,2.98,0.66,2.59,0,0,0,3.46,0,6.9,0,0,12.64,0,0.68,0,0,0,3.92,0,0,4.12,0,3.01,0,0
108-118,0,0,0,1.47,5.6,0,0,0,0,0,0,0,4.7,0,0,8.27,0,0,0,0,0,5.52,0,0,0,2.33,1.22,0,0
120,0,0,0,0,4.97,0,0,0,0,0,0,0,2.2,0,1.2,3.33,0,0,0,0,0,2.59,0,0,0,0,0,0,0
