stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,1.33,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,4.37,0,0
 48-58,0,0,0,0,0,0,0,0.37,0,0,0,0,0,5.16,2.12,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,2.55,0,0,0,0
 72-82,0,0,0,0.65,0,8.26,0,0,0,0,0.8,0,0,3.38,0.53,0,1.85,0,0
 84-94,5.29,0.58,0,0,0,0.58,0.86,0,1.2,0,0,0,0,6.44,0,0,2.39,0,0
 96-106,2.46,0.79,0,1.18,1.1,0,0,0,0.91,0,0,0,0,8.49,1.84,0,12.61,0,2.31
108-118,0,0.55,3.43,1.37,0.75,0.75,0.53,0,0.57,0.74,0,1.36,10.9,11.08,0,1.32,0,0,0
120,0,4.82,0,0,0,0,0,0,7.01,0,0,0,0,18.11,3.29,0,0,0,0
