stage,axial,blastomeres,erythrocytes,fin.epithelia,glial,immune,mesenchyme,neural,spinal.cord,vasculature
  3-4,0,80.03,0,0,0,0,0,0,0,0
  5-6,0,16.59,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,41.9,0,0
 10-12,0,0,0,0,0,0,0,19.3,0,0
 24-34,0,0,0,0,0,2.46,0,1.77,0,0
 36-46,0,0,0,0,0,1.54,0,0.74,0,0
 48-58,0,0,0,0,0,2.88,0,0,0,0
 60-70,0,0,0,0,0,5.38,0,0,1.37,0
 72-82,0,0,0.52,0,0,5.8,0,0,0,0
 84-94,0,0,0,0,0,20.02,0,0,0,0
 96-106,0,0,0.63,2.93,0,34.35,2.07,0,0,1.9
108-118,0,0,0,0,0.75,41.8,0,0,0,1.59
120,0,0,0,0,0,24.01,0,0,0,1.54
