stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,0,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,0,30.73,0,0,0,0,0,0.99,0,25.58,0,0,0,0,0,0,1.36,14.96,1.37,0,0,0,0,2.78,2.12,0
 24-34,0,0,0,0,0.85,10.98,1.97,2.47,0,0,0,11.01,1.83,15.13,0,0,0,9.85,0,0,1.82,20.92,0,0.84,0,3.24,0,0,5.03,18.55
 36-46,0,0,0,0,0,0,10.66,0,0,1.78,0,4.54,0,14.3,0,0,0,3.09,0,0,3.78,35.16,1.95,0,0,0,0,0,2.54,3.22
 48-58,0,0,0,0,0,0,4.32,0,0,1.31,0,5.18,0,33.13,1.02,0,0,1.98,1.11,0,0.42,41.97,0,0,0,0,0,0,5.11,2.79
 60-70,0,0,0,0,0.78,0,13.16,0,0,0.58,0,2.07,0,36.97,0,0,0,4.98,0,0,0.68,45.24,0,0,0,0.85,0,0,11.64,0
 72-82,0,0,0,0,0,0,14.76,0,0,1.36,0,4.59,0,45.94,0,0,0,5.46,2.55,0,0,27.18,0,0,0,0,0,0,3.01,0
 84-94,0,0,0,0,1.67,10.39,12.01,0,0,1.7,0,0.86,0,53.97,0,0,0,3.25,3.28,3.12,0,22.83,0,0,0,1.18,0,0,0.77,5.67
 96-106,0,0,5.49,0,0,0,12.81,0,0,3.76,1.95,2.12,0,64.14,0,0.64,0,1.06,2.95,0,0,16.49,0,0,1.3,0,0.63,0,0,0.74
108-118,0,0,1.03,0,3.78,0,16.43,2.59,0,2.03,4.94,0,0,36.73,0,0,0.6,0,4.21,0,0,30.17,2.37,0,3.32,0.82,0,0,0,2.61
120,0,0,0,0,13.58,0,0,0,1.82,2.95,0,0,0,67.37,0,0,0,22.24,0,0,3.09,20.29,0,0,4.22,0,0,0,3.5,0
