stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,6.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0,0,0,0,4.8,0,0,0,0,0
 14-21,0,0.83,0.84,0.96,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0.98,0,0,3.34,0,0,0
 24-34,0,0.63,0,1.32,0,0,0,0,0,0,0,0,2.08,0,0.73,21.75,0,0,0,0,0,0,12.1,0,0,0
 36-46,0,0,0,1.57,0,0,2.55,0,0,0,0,0,1.99,0,0,31.77,0,0,0,0,0,0,11.8,0,0,0
 48-58,0,0,0,11.27,0,0,0.76,0,0,0,0,0,4.07,0,0,44.96,0,0,0,0,0,0,4.59,0,0,0.48
 60-70,0,4.1,0,14.03,0,0,11.94,0,0,0.62,0,0,3.43,0,0.7,30.02,0,2.77,0,0,0,0,1.28,0,0,0
 72-82,0,4.62,0,23.39,0,0,7.42,0,0.6,0,0.51,1.79,7.61,0.74,0,21.51,1.2,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.41,3.55,0.58,0,0.64,0,0,0,0,0,1.83,0,0.66,20.16,0,0,0,0.97,0,0,0.63,0.81,0,0
 96-106,0,0.82,0,1.68,0,3.11,5.15,1.02,1.03,0,0,0,9.39,0,0,13.73,0,0.6,0,0.81,0,4.11,4.56,0,0,0
108-118,0,0,0,6.51,0,0,6.42,0,0,0,0,0,7.04,0,0,32.66,0,0.43,0,0,0,0,0,0,0,0
120,0,0,0,33.05,0,0,5.96,0,1.61,0,0,0,6.68,0,0,103.03,0,0,0,0,0,0,0,0,1.51,0
