stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,72.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,7.7,0,0,0,0,0,0,0,0
 10-12,0,0,9.53,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,36.84,5.15,0,0,25.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.69,1.81,0,0,0,0,0.81,0,0,0,0,1.88,0,2.2,6.17,0,0,0,0,0,0,1.04,1.02,0,0,0,0
 24-34,0,0,0,1.72,0,0,0,0,1.04,0,0,0,0,0,2.28,0,0,11.34,0,0,0.61,0,0,2.08,0,2.81,0,0,0,0
 36-46,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,6.85,0,0,8.77,0,0,0,0,0,0,0,8.79,0,0,0,0
 48-58,0,0,0,0,2.55,0,0,0.88,0,0,0,0,0,0,4.11,0,0,16.31,0,0.59,0,0,0,0,0,2.8,0,0,0,0
 60-70,0,0,0,1,4.42,0,0,0,1.71,0,0,0,0,0,7.02,0,0,7.24,0.62,0,0,0,0,4.09,0,4.96,0,0,0,0
 72-82,0,0,0,0.77,0,0,0.92,0,11.15,0,0,0,1.13,0,10.45,0,0,3.24,0,0,0.56,0,0,0,0,3.03,0,0.6,0,0
 84-94,0,0,0,0,2.56,0,0,0,7.28,0.64,0.84,0,0,0,9.06,0,0,3.11,0,0,0,0,0,1.32,0,0,2.69,0,1.55,0
 96-106,0,0.99,0,2.95,0,0.89,0,0,6.87,1.66,0,0,0,0.6,3.09,0,0,1.64,0,2.84,1.28,0,0,0,0,0,0,0.91,0,0
108-118,0,0,0,2.88,0,0,0.42,0.86,7.76,2.6,1.46,1.28,0,0,21.24,6.28,0,8.19,0,0,0,0,3.27,1.36,0,2.31,0,0.72,0,1.5
120,0,0,0,5.23,0,0,2.58,0,13.15,0,0,0,0,0,2.06,0,0,0,4.18,1.32,0,0,0,0,0,0,0,0,0,0
