stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.95,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,4.77,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.91,11.31,0,0,0,0,0,4.49,0.91,2.83,0,0,7.36,4.57,0,1.22,0,0
 24-34,0,0,1.37,0,0,0.67,0,0.63,0,0,0,0,0,0,0,0,0,0,0,4.38,0,4.38,24.82,0,0.75,0,0,0,3.28,0,0,0,0,0.69,4.85,0,2.18,0,0
 36-46,0,0,13.66,0,0,1.69,0,0,0,0,0,0,0,0,0,15.07,0,0,0.8,6.26,1.78,2.42,19.24,0.97,0.88,1.18,0,0,7.08,0,0,0.74,0,0,4.41,0,1.23,0,0
 48-58,0,0,0,0,0,2.63,0.44,0,0,1.84,0,0,0,0.54,0,0,0,0,0,2.05,0,0.86,7.41,0,0,0,0,0,0.89,0,0,0.53,0,0,0.43,0,0,0,0
 60-70,0,0,1.01,0,0,7.33,0,1.18,0,7.68,0,0,0,0.59,0,0,0.88,0,0,4.59,0,9.95,28.93,0.71,0,0,0,0,1.23,0,0,0,0.64,0,1.95,0,0,0,9.94
 72-82,0,0,1.12,0,0,14.03,7.1,0,0,2.21,0,0,0,1.18,0,0,0,0,0,14.35,0,0,12.23,0.77,0,0,0,0,4.67,0,0,0,0,0,0.83,0,0,0.65,0
 84-94,0,0,0,0,0,8.57,0,0,0,0,0,0,0.6,3.14,0,0,0,0,0,0.82,0,0,3.57,0,1.84,0.89,0,0,10.26,0,0,0,0,0,4.38,0,0.84,0.89,2.81
 96-106,0,0,3.13,0.8,0,3.96,0,0,1.05,12.75,0,0,0,1.32,0,0,1.11,0,0,8.81,0,1.54,11.57,0.57,0,0.93,0,0,3.31,0,0,0,0,0,7.31,0,0,0,11.18
108-118,0,0,0.62,0,0.5,3.05,0,0.69,1.87,3.85,0.92,0,0,0,0.44,2,0,2.95,0,11.31,0,3.93,10.24,0,0,0.57,0,0.86,3.03,0,0,0,0,0,1.21,0.86,2.5,0,0.6
120,0,0,2.3,0,0,0,0,0,8.4,15.73,0,0,0,0,0,4.7,0,0,0,1.64,0,0,30.11,0,12.08,0,0,0,1.39,0,0,0,0,0,0,0,0,0,9.75
