stage,axial,blastomeres,eye,glial,liver,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,0,134.04,0,0,0,0,0,0,20.59,0,0
  5-6,16.99,104.56,0,0,0,0,0,6.69,0,0,0
  7-9,0,0,7.5,0,0,0,28.9,13.95,0,0,0
 10-12,0,0,0,0,0,0,25.61,14.19,0,0,0
 14-21,0,0,0,0,0,0,1.01,0,2.14,1.98,0
 24-34,0,0,0,0,0,0.78,5.61,0,0,0.85,0
 36-46,0,0,0.66,0,0,0,16.62,0,0,2.72,0
 48-58,0,0,2.23,0,0,0,18.86,0,0,1.36,0
 60-70,0,0,0.83,0,0,0,38.19,0,2.92,0,1.29
 72-82,0,0,7.14,0,0,0,10.01,0,0,0,0
 84-94,0,0,3.72,0,0,0,3.69,0,0,0,0
 96-106,0,0,0.81,0.62,0,0,6.52,0,0,0,0
108-118,0,0,3.26,0,0.5,0,7.21,0,0,0,0
120,0,0,0,0,0,0,27.91,0,0,0,0
