stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.65,0,0.99,1.89,0,0,2.2,0,0,0.89,0,0,0,0,0,2.03,0,0,1.35,0,0
 24-34,0,0,4.33,9.07,0,0,2.49,0,0,0,2.3,1.28,0,0,0,0,0,0,248.42,0,2.44,0.68,0,0.79,6.69,0,0,0,0,0,0,0,0,7.46,0,0,1.19,0,0
 36-46,0,0,0.56,1.34,0,0,1.4,0,0,0.62,0,4.41,0,0,0,0,0,0.79,283.21,0,0,0,0,0,16.08,0,0,0,0,0,0.67,0,0,6.63,0,0,0,0,0
 48-58,0,0,0,3.33,0,0,55.58,0,0,0,0.96,2.84,0,0,0,0,0,0,396.37,0,4.42,0,0,0,26.54,0,0,0,0,0,1.58,0,0,0.87,0,0,0,0,1.53
 60-70,0,1.1,0,0,0,0,32.08,0,0,0,0,6.5,9.59,0,1.31,0,0,0,537.3,0,2.83,0,0,3.98,42.34,0,1.11,0,0,0,0,0,0,1.94,0,0,0,0,0
 72-82,0,1.6,0,0.87,10.08,0,60.23,0,0,0,12.09,5.45,0,0,0.65,0,3.11,3.77,1320.89,0,11.01,0,0.56,0,149.11,0,0,0,0,0,7.1,0,1.5,1.58,0.92,0,0.96,3.02,6.88
 84-94,0,2.38,0,3.05,7.96,3.47,179.65,0,0,1.05,20.67,3.24,0,0,6,0.76,4.49,0,4518.7,0,37.35,7.17,0.6,0,171.6,0,0,0,0,0,3.54,0,0,5.91,0,0,0.57,2.92,15.55
 96-106,0,2.94,0,30.15,88.86,21.14,274.04,2.84,9.77,21.42,31.36,18.18,0,1.52,10.99,1.22,1.48,6.36,8246.75,0,138.47,8.33,2.77,12.04,1073.39,2.41,8.77,7.78,10.66,3.44,78.16,0,0.74,6.48,8.28,5.28,26.94,14.08,21.22
108-118,0,1.71,0,25.23,49.97,15.08,257.98,1,2.93,2.3,62.35,13.5,0,0,10.48,0,13.38,0,15922.1,0,121.06,2.58,3.47,8.78,1035.49,5.13,3.27,4.1,0,1.89,60.91,2.42,0,21.68,3.78,7.98,16.52,5.52,10.74
120,0,0,0,26.7,11.35,10.21,90.37,0,2.98,0,55.07,9.52,0,0,4.23,0,2.11,0,7764.1,1.33,175.65,0,22.39,1.1,518.86,1.32,0,2.74,0,0,46.37,0,0,0,0,0,0,0,6.96
