stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,21.95,127.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,5.08,0,0,0,0,0,0,0
 10-12,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,0,0,14.86,0,0,0,0,0,0,0
 14-21,0,0,3.11,8.09,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07,0,0,1.04,0,0,0,0,18.68,0,0,0
 24-34,0,0,1.5,2.07,6.85,0,0,2,0,0,0,0,0,0,0.68,0,5.37,0.93,0,0.73,201.59,0.69,1.44,0,0,0,0,0,57.51,0,0.88,0
 36-46,0,0,0,0,2.01,0,0,2.48,0,0,1.05,0,0.76,0,0,0,10.17,0,0,3.32,392.42,0,2.3,0,0,4.01,0,0,63.76,0,0,3.09
 48-58,0,0,0.54,0,1.61,0,0,16.59,6,0,1.9,0,1.12,0,0,0,12.79,0,0,1,386.85,0,0,1.19,0,0,0,0,55.05,0,0.46,0
 60-70,0,0,0,0,12.07,0,0,44.01,0,0,4.7,0,5.25,0,0,0,2.93,0,1.84,8.11,620.63,0,0,0,0,0,0,1.01,25.56,0,0,0
 72-82,0,0,0.62,0,9.92,0,0,125.39,0,1.88,5.51,2.57,1.08,0.5,0,7.12,15.2,1.31,0,0,597.68,0,0,2.69,0,2.85,1.65,0,26.44,0.82,0,2.57
 84-94,0,0,2.94,0,7.14,0,0,67.03,0,0,2.75,5.02,0,0,0,0,0.62,0,1.17,0,380.75,0,0,1.29,0,0,0,0,14.28,1.66,0,0
 96-106,0,0,2.81,0,4.13,11.15,0,35.29,0,0,10.56,4.92,0,0,0,1.54,6.24,0.7,0,0,384.94,0,0,0,0,6.4,3.82,0,4.66,4,0,0.8
108-118,0,0,0.91,0,5.7,0,6.86,52.3,0,0,15.36,2.78,0,0,0,3.56,0,1.3,0,0,420.19,0,0,0,0,4.22,0,0,4.84,3.67,0.69,1.42
120,0,0,2.94,0,10.13,0,0,86.54,0,0,17.75,1.61,0,0,0,0,0,0,0,1.04,891.89,4.01,0,0,0,0,0,0,0,5.08,0,0
