stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,155.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,315.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,62.41,0,0,0,0,0,0,0,0,0,0,0,0,555.48,4.26,0,0,14.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,18.68,0,0,0,22.31,0,0,0,0,0,0,0,0
 14-21,0,0,1.35,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,0,0,1.31,1.03,59.97,7.27,1.77,0.89,0
 24-34,0,0,2.8,0.61,0.82,1.52,1.45,0,0,0,0,0,0,0,0,1.8,6.31,30.91,0,0,2.48,0,0.76,0,0,29.88,13.79,9.74,0.86,0
 36-46,0,0,3.8,0,1.82,10.49,0,0,0,0,0,0,0,0,1.47,1.34,4.25,68.1,0,1.02,0,0,1.93,0,0,30.09,0,11.74,1.6,0
 48-58,0,0,3.41,0,13.57,7.06,0,0,0.44,0,0,0,0,0,0,0.69,0.77,117.19,0,2.28,0.82,0,1.59,0,0,11.52,0,18.98,1.71,0
 60-70,0,0,0,0,18.1,7.24,0.69,0.57,0.79,0,0,0,0,0,0,0.62,0.67,191.97,0,3.17,0,0,5.86,0,0,11.1,0,23.84,11.47,0
 72-82,0,0,6.67,0,57.32,0,0,0,2.77,0,0,4.47,0,0,1.32,3.42,0,243.35,0,1.19,0.69,0,1.66,0,0,7.31,0,37.31,2.95,0
 84-94,0,0,1.18,3.9,38.6,0,0,0,0.55,0,0.65,0,0,0,5.68,6.78,0,191.53,0,1.7,3.69,0,5.08,0,0,4.96,0,16.62,5.32,0
 96-106,0,0,2.49,0,62.39,3.51,0.63,0,2.8,1.47,0,0,2.82,0,0,0,5.99,210.84,0,2.18,3.49,0,1.5,0,0,3.26,0,13.56,2.33,0.68
108-118,0,0.97,5.3,0.61,61.04,6.62,3.96,0,5.2,0,0,0,0.56,2.95,0.61,4.2,0,310.1,0,0.63,4.06,0,0.76,0,0,3.07,0,5.84,0,0
120,0,0,11.51,1.87,60.9,1.14,2.97,0,37.27,1,0,0,0,0,0,5.57,1.51,575.9,0,2.28,1.66,0,3.41,0,0,0,0,30.1,5.74,0
