stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.04,10.69,4.6,5.19,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,2.16,81.65,0.84,1.37,1.76,2.97,0,0,7.58,0.89,9.29,25.38,0,0,0,0
 24-34,0,0,8.75,0.79,81,1.86,2.25,12.56,0,0,1.45,0,0,1.96,1.31,0.67,0,44.95,0.89,6.11,639.54,1.7,1.86,6.15,0,0,5.54,0,0.75,2.26,115.7,0,17.55,0,0
 36-46,0,0.56,24.01,26.99,178.99,0,0,6.12,1.33,0,0,2.23,0,14.63,0,1.74,6.34,41.1,0,5.22,499.43,1.81,0.79,0,0,0,29.74,0,2.92,0,85.54,0,6.06,0,7.75
 48-58,0,0,27.25,16.14,307.98,2.81,0,21.96,3.37,0,2.25,3.41,2.75,0,1.05,4.2,1.15,47.4,15.27,1.33,496.68,1.33,2.5,6.25,0,0,2.5,0,0,0,28.5,0,0.71,0,0
 60-70,0.89,0,24.83,0,304.49,1.25,4.99,37.05,0.95,1.21,0,8.24,5.07,10.33,2.61,0,0,102.44,1.71,1.15,293.62,0,1.22,7.26,0,0,9.21,0,0.6,0,21.24,0,9.69,0,0
 72-82,0,0,1.43,0,47.85,0,1.73,8.9,0,0,0,0,0,0,0,0,0,36.17,1.72,2.21,79.5,0,1.63,0.53,0,0,1.6,0,0,0,0,0.78,0.74,0,1.1
 84-94,0,0,4.91,0.56,53.44,0,0.7,2.87,4.88,0,5.7,3.06,0,2.08,0,0,0.86,22.36,0.85,6.4,56.1,1.11,0.8,1.66,0,0,4.58,0,0,0,0,0,4.47,0.91,0
 96-106,0,0,1.67,0,18.78,0.61,0,0,0.63,0,0.89,1.28,0.99,0,0,0,0,2.25,0,1.34,32.33,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0
108-118,0,0,2.17,5.7,25.19,0,0,11.42,0.62,0,0,6.15,0,0.44,0,1.06,0,15.47,1.15,3.74,47.96,1.36,0,0,0,0,6.59,0,0,0,3.41,0,0.97,0,0
120,0,0,4.4,6.28,115.14,0,0,12.82,1.41,0,0,13.75,1.1,0,0,12.52,0,6.5,2.08,1.5,181.38,3.31,0,3.28,0,4.48,1.46,0,0,0,0,0,8.12,0,0
