stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,31.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,1.91,8.74,0,0,0.91,0.91,0,0
 24-34,0,0,1.35,0,0,0,0,2.15,0.95,14.48,0,0,0,5.58,0,0
 36-46,0,0.59,2.34,0.57,0,0,0,1.44,0,8.6,0,0,0,3.6,0,0
 48-58,0,0,1.76,0,1.92,0,0,1.7,0,7.79,0,0.97,0,4.23,0,0
 60-70,0,0,1.35,0,0,0,0.72,7.2,0,3.25,0,0,0,0,1.58,0
 72-82,0,0,0.69,0,0.62,0,0,8.46,0,11.19,0,0,0,7.05,0,0
 84-94,0,0,8.75,0,0,0,0,0,0,3.16,0,0,0,0,0,0
 96-106,0,0,2.25,0,0,0,0,3.83,0,2.94,0,0,0,0,0.97,1.42
108-118,0,0.62,7.09,0,1.01,0,0,2.81,0,6.95,0,0.47,0,0,0,0
120,0,0,0,0,0,1.62,0,2.02,0,2.55,1.26,0,0,0,1.65,0
