stage,blastomeres,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,olfactory,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,95.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.46,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,49.22,0,0,0,0,0
 10-12,0,4.34,0,0,5.59,0,0,0,10.23,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.83,0,1.05,0,0.82,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0
 36-46,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0
 48-58,0,0.43,0,0.9,0,0.51,1.05,0,1.6,0,0,0,0,0
 60-70,0,5.88,0,0,0,0,0,1.9,0,0,0,0,0,0
 72-82,0,0,0,1.07,0,0,0.67,0,0,0.79,0,0,0,0
 84-94,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0
108-118,0,0,0.45,1.09,0,0,0.79,0,1.52,0,0,0.69,0,1.48
120,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0
