stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.78,1692.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0
  5-6,189.69,2031.53,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,107.01,18.98,0,0,0,57.77,0,0,0,0,0,0,0,0,0,0
  7-9,20.08,64.74,0,24.9,0,5.98,57.38,0,0,0,0,27.36,0,0,0,0,0,0,0,0,0,0,0,806.2,54.38,0,0,307.36,0,25.31,0,0,0,0,0,0,0,0,0
 10-12,0,17.1,0,21.69,0,10.63,66.54,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,619.39,13.96,0,0,187.59,0,16.55,0,27.86,0,0,9.81,0,0,0,0
 14-21,0,0,0,0,1.28,0.93,1.04,0,0,0,0,0,0,0,0.89,0,0,0,0,1.85,0,0,2.63,44.27,0,0,1.04,1.02,0,0.9,3.79,0,0,5.56,12.93,0,0,0,0
 24-34,0,0,0,0,1.78,0,6.34,0.82,0.61,3.74,0,0,0,0,1.01,0,0,0,0,13.19,0.69,0,3.5,130.55,1.14,0.76,1.03,0,3.4,0,0,0,0,0.75,19.21,0,4.71,0,0
 36-46,0,0,0,0,0,0,26.85,0,0,2.76,0,0,0,0,0,0,0,0,0,9.38,0,1.94,5.88,91.8,0,1.09,0.76,0,1.95,0,0,0,0,0,10.68,0,3.44,0,7.75
 48-58,0,0,0,0,0,0,46.91,0.38,0.44,6.68,0,1.18,0.69,0,0,0,0,0,8.42,11.92,0,0.9,4.46,107.96,0,0,0,0,1.37,0,0,0,2.16,0,17.09,0,2.71,0,0.92
 60-70,0,0,0,0,0.91,0,53.14,1.78,0,14.09,0,0,0,0,0,0,0,1.45,0,11.18,0,0,2.92,103.6,0,2.85,1.74,0,10.84,0,0,0,0,0,10.34,0,0.79,0,5.69
 72-82,0,0,0,0,1.31,0.89,35.23,0,0,10.02,0,0,0,0,0,0,0.55,0,0.5,12.35,6.51,0,2.71,106.06,11.7,0,4.76,0,2.58,0,0,0,0,0,15.05,0,0.62,0,9.26
 84-94,0,0,0,0,3.43,3.54,53.33,0,0.65,6.65,0,2.66,0,0,0.6,0.81,0,0,0,13.34,0,0,0.6,50.25,0,0,0.7,0,16.21,0,0,0.74,0,0,5.9,0,1.06,0,0
 96-106,0,0,1.05,0,6.92,0,39.38,0,0,14.7,3.81,0,0,0,0,0,0,0,0,12.12,0,0.8,1.08,23.78,0.73,0,0,0,4.36,0,0,0,0,0,7.83,0,3.52,0.95,0
108-118,0,0,0,0.74,5.55,2.46,30.7,0,0,5.26,0,0,1.49,3.68,0,0,0,0,0,20.04,0,0.46,2.12,65.88,0,0.7,0,0,5.26,0,0,0,0,0,0,1.43,8.17,0,0
120,0,0,0,0,7.79,11.95,43.48,2.19,0,22.94,2.8,0,0,0,0,5.74,0,0,0,45.52,1.1,0,0,124.4,2.48,0,0,0,7.3,0,0,1.02,0,0,14.34,0,0,0,0
