stage,blastomeres,eye,glial,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  5-6,26.3,0,0,0,0,0,0,0,11.47,0,0,0
  7-9,0,0,0,0,0,0,3.79,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.41,0,0,0,0
 14-21,0,0,0,0,0,0,0.9,0,0,0.94,0.86,0
 24-34,0,0,0,0,0,0,1.68,0,0,0.62,1.64,0
 36-46,0,0,0,0,0,0,1.6,0,0,0,0,0
 48-58,0,1.42,0.57,0,0.39,0,1,0,0,0,1.27,0
 60-70,0,0,0,0,0,0.58,2.29,0,0,0,0.81,0
 72-82,0,1.4,0,0,1.39,0,6.17,0,0,0,0,0
 84-94,0,6.17,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.77,0,0,0,0,0.75,0,0,0,0,0
108-118,0,0.49,0,0,0.43,0,1.73,0,0,0,0,0.44
120,0,0,0,4.61,0,0,0,0,0,0,0,0
