stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,101.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62,0,0,0,0,0,0,0,0,0,0
 14-21,1.78,4.15,0,0,0,1.85,0,0,0,0,0,0,11.15,0,9.11,45.49,0,0,0,0.91,205.95,0,0,0,0,0
 24-34,0.81,2.06,0,0,0,0.6,0,0,0,0,0.61,0,31.55,0,4.76,204.67,0,0,0,0,361.55,0,0,1.06,0,0
 36-46,0,0,0,2.48,0,1.81,0,0,1.21,0,0.74,1.15,10.71,0.86,1.69,188.15,0,0,0.58,0,472.37,0,0,0,0,0
 48-58,0,0.5,0.65,9.34,0,10.94,0,0,0,0,0,0,8.23,0,1.84,158.87,0,0,3.87,0,262.04,0,0,0,0,0
 60-70,0,0,0,16.43,3.66,2.38,0,0,0,0,0,0,11.25,0.7,0,172.21,0,0.62,0.64,0,121.46,0,0,0,0,4.01
 72-82,0,0.96,0,7.7,4.61,1.64,0.94,0,0,0,0,0,12.37,0,1.75,149.82,0,0,0,0,35.43,4.86,1.95,0,0,0
 84-94,0,0,0,6.78,0,22.83,0,0,0.97,0.76,0,0,11.26,0,1.22,97.96,0.85,0,1.08,0,29.41,4.24,2.87,0,2.49,0
 96-106,0,0,0,8.79,0,2.6,1.17,0,0.91,1.8,0,0,9.9,0,0,45.46,0,6.33,2.7,0,8.91,1.61,0,0,1.22,0
108-118,0,2.58,0,6.33,0.73,2.83,0.55,0,1.44,0,0,0,4.54,0.49,0,87.06,0,0,2.21,0,12.32,1.2,0,0,0,0
120,0,0,0,16.03,4.8,4.2,0,0,2.94,0,0,0,2.03,0,0,45.55,0,0,0,0,21.17,1.32,0,0,0,0
