stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,48.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.06,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5,0,0,0,13.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.13,0,0,0,0,10.79,0,0,0,0,0,0,0,0,69.09,0,0,0,52.82,0,0,0,10.02,0,0,0,0,0
 14-21,0,0,3.97,2.85,0,0,0,0,1.73,0,0,0,0,0,0,0,0,3.13,10.98,0.81,0,0,0,0,1.67,3.51,1.3,3.68,5.94,0,1.64,0
 24-34,0,0,1.72,0,0.83,0.71,0,2.11,0,0,1.36,0,0,0.66,0,2.99,0,0,26.05,3.64,0.67,1.16,0,0,0,0,3.13,1.3,7.15,0,22.16,0
 36-46,0,0,2.58,0,11.73,0,1.56,1.14,0.72,0,0.89,0,0,0,0.57,9.33,0,3.79,23.26,8.73,0,0.61,0,0,0.6,0,3.52,0,8.54,0,7.67,0
 48-58,0,0,0.37,0,22.88,0,1.08,0,0,0,0,0,0,0.4,0,46.11,0,0,18.93,3.22,0,0.38,0,0,0,0,6.43,0,14.86,0,9.6,0
 60-70,0,0,0,0,128.89,0,0.84,2.74,0,0,0,0,0,0,1.78,68.11,0.69,2.74,38.36,1.31,0,3.6,0,0,0,0,2.05,0,23.26,0,7.13,0
 72-82,0,0,0,0,289.63,0,0,3.72,0,0,1.68,0,0.64,0.61,0,80.2,0,2.09,33.54,0,0,0,0,0,0,0,0.66,0,4.03,0,20.47,0.51
 84-94,0,0,0,0,164.29,0,2.83,10.65,0.68,0,0,0,0,1.43,0,91.29,0,1.12,30.24,0.67,2.07,2.64,0,0.79,0,0,2.09,0,4.23,0,4.07,1.95
 96-106,0,0,0.71,0,147.6,0,0,10.02,1.3,0,0,0,0,0.75,0,55.61,0,3.54,42.68,0,0,0.98,0,0,0,0,0.74,0,0,0,8.67,0
108-118,0,0,0.63,0,157.62,0,2.16,3.06,0.71,0,0,0.59,0,2.07,0,70.07,0,2.34,42.55,0.5,0,2.77,0,0,0,0,1.87,0,5.26,0.57,3.88,0
120,0,0,0,0,74.06,0,0,10.8,0,0,0,0,0,0,1.84,82.11,0,0,52.44,4.03,0,0,0,0,0,0,1.62,0,0,0,1.35,0
