stage,blastomeres,epidermis,eye,fast_muscle,glial,hatching_gland,iridophores,liver,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0
 24-34,0,0,0.87,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.26,0,0,0,0.92,0,0,25.45,0,0,0.61,0,0,0,0
 48-58,0,5.01,1.14,0,1.69,0,0,0,2.51,0,0.42,33.85,0,1.91,0,2.19,0,0,0
 60-70,0,0,0.92,0,0,0,8.93,0,1.52,0,0,29.79,0,0,0,1.36,0,0,0
 72-82,0,0.69,4.76,0,0,0,0,0,1.23,1.42,0,43.92,1.4,0,0,0,0,0.75,5.92
 84-94,0,0,3.63,0,0,0,0.76,0,2.4,0,0,45.56,0,0,0.6,1.18,0,0,0.63
 96-106,0,2.56,5.8,1.36,0,0,0.81,0.7,6.56,0,0,29.81,0,0,0,0,1.22,0,2.59
108-118,0,0,2.7,0,0,0,0,0,0.95,0,0,20.51,0,0,0,2.77,0,0,0.57
120,0,5.24,3.44,0,0,0,0,0,2.9,0,0,22.62,0,0,0,0,0,0,1.45
