stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,31.24,0,10.44,19.2,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,3.39,10.48,23.65,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.12,45.27,0.86,0,0
 24-34,0,0.76,0,0,0,0,0,0,0,0.77,0.88,0,0,9.11,0,0,148.95,5.26,0,0
 36-46,0,0,0,0.77,1.3,1.28,0,0,1.53,0,0,0,0,4.48,0,0,112.24,2.22,0,0
 48-58,0,0.71,0,1.81,1.2,0,0,0,0.47,1.03,0,0,0,11.5,0,0,80.62,1.04,0,0
 60-70,0,0,0,0,1.4,1.08,0,0,0,0.83,0,0,0,1.32,0,0,69.66,0,0,0
 72-82,0,3.34,0,4.94,1.59,0,0,0,0,3.83,0,0,0.72,8.12,0,0,47.87,0,4.21,0
 84-94,0,1.77,0,0,0,0,0,0.63,0,0,2.59,0,0,0,0,0,158.02,0,0,0
 96-106,0,12.75,1.3,0,1.32,0,0,0,0,0.8,0,0,2.63,1.14,0,0,83.7,0,0,2.27
108-118,0,6.85,0,0,1.92,0,0,0.9,0,0.49,0,0,0,0,0,0,59.82,0,0,4.6
120,0,6.29,0,0,2.55,0,2.29,0,0,0,1.1,19.65,0,0,0,0,70.95,2.39,0,16.16
